base,coluna,dtype,n_linhas,n_na,pct_na,n_unique,pct_unique_sobre_nao_nulo,amostras
tokens_chunks,doc_id,object,12041,0,0.0,155,0.0129,doc_b53730e47cc798ef | doc_b53730e47cc798ef | doc_b53730e47cc798ef
tokens_chunks,chunk_id,object,12041,0,0.0,12041,1.0,doc_b53730e47cc798ef_ch_0001 | doc_b53730e47cc798ef_ch_0002 | doc_b53730e47cc798ef_ch_0003
tokens_chunks,chunk_index,Int64,12041,0,0.0,156,0.013,1 | 2 | 3
tokens_chunks,source_filename_hash,object,12041,0,0.0,155,0.0129,e108bde61f76578b40a5 | e108bde61f76578b40a5 | e108bde61f76578b40a5
tokens_chunks,collection_batch,object,12041,0,0.0,1,0.0001,v2 | v2 | v2
tokens_chunks,mes,object,12041,0,0.0,8,0.0007,abril | abril | abril
tokens_chunks,ano,object,12041,12041,1.0,0,,
tokens_chunks,projeto,object,12041,0,0.0,12,0.001,biome | biome | biome
tokens_chunks,pais,object,12041,0,0.0,4,0.0003,nao_inferido | nao_inferido | nao_inferido
tokens_chunks,marca_foco,object,12041,0,0.0,3,0.0002,nao_inferido | nao_inferido | nao_inferido
tokens_chunks,publico,object,12041,0,0.0,4,0.0003,nao_inferido | nao_inferido | nao_inferido
tokens_chunks,tipo_sessao,object,12041,0,0.0,2,0.0002,nao_inferido | nao_inferido | nao_inferido
tokens_chunks,canal_origem,object,12041,0,0.0,2,0.0002,pdf | pdf | pdf
tokens_chunks,contexto_origem,object,12041,0,0.0,2,0.0002,nao_inferido | nao_inferido | nao_inferido
tokens_chunks,idioma,object,12041,0,0.0,2,0.0002,pt | pt | pt
tokens_chunks,texto_analise,object,12041,0,0.0,12034,0.9994,"Speaker 1 - 00:08    Só minutinho, então eu vou esperar.            Speaker 2 - 00:09    Os participantes que assistem, inclusive a Ana, entrarem aqui. Quando e | s. Antes de começar, aproveite para pegar uma água e ir ao banheiro. Assim, você não precisa  sair durante a conversa. Agora, para que você não tenha nenhuma pr | não grave nem tire prints ou fotos da tela durante o bate-papo. Agora falta muito pouco para  começar. Não se esqueça que estamos aqui para te ouvir, então não "
tokens_chunks,n_caracteres,Int64,12041,0,0.0,185,0.0154,1194 | 1198 | 1199
tokens_chunks,n_palavras,Int64,12041,0,0.0,160,0.0133,189 | 195 | 206
tokens_chunks,pagina_inicial_pdf,object,12041,12041,1.0,0,,
tokens_chunks,pagina_final_pdf,object,12041,12041,1.0,0,,
tokens_chunks,timestamp_inicial,object,12041,12041,1.0,0,,
tokens_chunks,timestamp_final,object,12041,12041,1.0,0,,
tokens_chunks,evidencia_citavel,Int64,12041,0,0.0,1,0.0001,0 | 0 | 0
