doc_id,dimensao,score_doc_per_1k,hits_na_frase,evidencia,projeto,pais,marca_foco,publico,tipo_sessao,canal_origem,idioma_original,persona_nome_auto
doc_5c06d290f301eadb,motivador__preco_valor_promocao,14.73334716746213,4,"Então, assim, a oferta de produtos da Natura em relação a a esses itens de higiene pessoal melhor, mais diversificada do que a do Boticário com preço mais afetível, porque todo tipo tem outro em promoção.",natura_3cs,nao_inferido,natura,consultoras,nao_inferido,m4a,pt,sem_persona_rodar_notebook_04
doc_a966111a7b9eb0a6,motivador__preco_valor_promocao,14.337508239947264,5,"A Naturo faturamento ela é pouco maior né a Boticário já não traz tanto esse faturamento só traz assim quando você pega as ofertas como eu falei né aí sim você consegue faturar no próximo ciclo porque aí você já vai vender no preço da revista não vai vender no preço da promoção então mas a referente ao faturamento, a Natura, desculpa, ela é melhor no faturamento.",natura_3cs,nao_inferido,natura,consultoras,nao_inferido,m4a,pt,sem_persona_rodar_notebook_04
doc_e9d9fb1438841663,motivador__preco_valor_promocao,11.941127464593169,3,"Procuro não prejudicar a minha colega, porque eu sei que a minha colega também trabalha pouco, porque precisa, eu não vou dar desconto, que a pessoa ou o cliente dela vai ficar sabendo, vai vir comprar de mim, porque eu tô no desconto melhor, então eu procuro dar desconto assim.",natura_3cs,nao_inferido,natura,consultoras,nao_inferido,m4a,pt,sem_persona_rodar_notebook_04
doc_f17a8b4e6ffe8287,motivador__preco_valor_promocao,11.630980703145651,3,"Speaker 2 - Não, pra ser sincera, eu gosto bastante dos kits da Natura porque é uma das marcas que reduz mais o preço do kit.",natura_3cs,nao_inferido,natura,consultoras,nao_inferido,m4a,pt,sem_persona_rodar_notebook_04
doc_9852515aa99fe494,motivador__preco_valor_promocao,10.434499062525475,3,"O produto baixou, o produto tá em oferta, o preço baixou.",compras_digitais,nao_inferido,nao_inferido,nao_inferido,nao_inferido,m4a,pt,sem_persona_rodar_notebook_04
doc_012fe174842b390e,motivador__preco_valor_promocao,9.499536607970343,4,Vendi baixa inclusive para você ter ideia eu fiz pedido na quinta-feira que era kit de namorados me pergunta hoje o que tem desses kit de namorado e que tem kit da Boticário por exemplo eu pedi eu acho foram 26 kit na quinta-feira no domingo eu não tinha.,natura_3cs,nao_inferido,natura,consultoras,nao_inferido,m4a,pt,sem_persona_rodar_notebook_04
doc_3d71a73387cbd4a7,motivador__eficacia_resultado_prova,25.993224514936866,9,"Speaker 1 - E Tainá, me fala uma coisa, o hidratante todo dia que você vende, o hidratante é todo dia ou tem mais alguma marca que você vende de hidratante?",radiosa,nao_inferido,nao_inferido,nao_inferido,nao_inferido,m4a,pt,sem_persona_rodar_notebook_04
doc_c3440e03873d8788,motivador__eficacia_resultado_prova,17.895600451235772,7,"E só mais uma coisa que eu quero saber, porque, Elizabeth, depois eu quero ouvir das outras, mas assim, quando você falou do hidratante, que você gosta de todo dia, porque ele absorveu e deixou resultado legal, o que é deixar resultado legal?",radiosa,nao_inferido,nao_inferido,nao_inferido,nao_inferido,m4a,pt,sem_persona_rodar_notebook_04
doc_c1b714ce1513e838,motivador__eficacia_resultado_prova,16.331948291782087,4,"Speaker 6 - Eu vejo que tem resultado dos produtos ali, e só pelo rosto semblante delas dá para ver que é eficaz o produto.",gaia_ii,nao_inferido,nao_inferido,nao_inferido,nao_inferido,pdf,pt,sem_persona_rodar_notebook_04
doc_b71f944ee9bec4b0,motivador__eficacia_resultado_prova,16.20491374803973,9,"Então, com ECOS, ele viria aí com hidratante, mas talvez esse hidratante teria óleo no hidratante, teria outro tipo de produto aí.",radiosa,nao_inferido,nao_inferido,nao_inferido,nao_inferido,m4a,pt,sem_persona_rodar_notebook_04
doc_ecbea0911b71e6fa,motivador__eficacia_resultado_prova,15.02353083142271,7,"Speaker 8 - Sim, mas só duas vezes na semana, e aí sempre hidratando com ele, porque dizem que existe uma maior eficácia, resultado maior depois que você esfolia, e aí você, de certa forma, você prepara a pele para a hidratação.",radiosa,nao_inferido,nao_inferido,nao_inferido,nao_inferido,m4a,pt,sem_persona_rodar_notebook_04
doc_20c080a645217030,motivador__eficacia_resultado_prova,14.837529056827737,10,"Speaker 6 - Contaria que é uma propaganda de hidratante corporal, onde aparece, no fundo da propaganda, aparece floresta e fala sobre o hidratante, onde ela vai passando pelo corpo, mostrando a leveza, a maciez que aquele hidratante está proporcionando, e fala também dos benefícios da composição.",rosacea,brasil,natura,nao_inferido,nao_inferido,pdf,pt,sem_persona_rodar_notebook_04
doc_ab0b946958f4f005,motivador__sensorial_experiencia,15.61909560398035,4,"Eu pedi, fiz a mesma pergunta tanto para ela depois como fiz para outra loja que eu fui, que é a Sof, que era perfume pra mim, que gosto de perfume mais leve, mais esportista, mais na linha de Calvin Klein, e de cara ela me indicou a Essencial Ato, que é perfume super forte, que realmente destoa completamente desse perfil.",3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade,m4a,pt,sem_persona_rodar_notebook_04
doc_e88651825b162294,motivador__sensorial_experiencia,14.71878350716444,5,Speaker 3 - Que ela tirava os perfumes não sei da onde você via no final que ela tinha monte de coisa né mas assim muito pouco repertório do tipo cara onde você conhece novidades você acompanha as comunicações os lançamentos não acompanha nada eu senti em alguém o cheiro né ela não tinha muito repertório tal né muito mais para mim quando ela trazia os perfumes uma coisa de muitos que os perfumes contavam uma história para ela né como o perfume tem essa coisa muito afetiva.,3cs_perfumes,nao_inferido,nao_inferido,nao_inferido,entrevista_em_profundidade,m4a,pt,sem_persona_rodar_notebook_04
