projeto,tipo,rank,sentimento_lexico,score_lexico,confianca_lexico,chunk_id,trecho
3cs_perfumes,mais_positivo,1,POS,12,0.857,doc_fcc334ae6da3d7f2_pp_ch_0015,"Sim, mas pensando mais de uma forma geral, porque assim, o importado fica nessa imagem de uma certa superioridade, mas ele usa Natura entendendo que tem essa mesma qualidade, né? O que ele atribui à qualidade de Natura, né? O que é a qualidade de perfume? Ele não fala de... Ele fala que o cheiro é bom e fixa bem. Então é isso, né? Cheiro bom e fixa bem. É. Oi, gente. Desculpa pelo atraso. Eu tava "
3cs_perfumes,mais_positivo,2,POS,11,1.0,doc_1d7aeba5c3deb241_pp_ch_0001,"E aí E. E aí E. Aí E aí E aí E aí. E aí E aí E aí E aí. Oi Mari, tudo bem? Bom dia, tudo bem? Tô bem e você? Tudo bem. Então tá bom. Eu vou mandar uma mensagem aqui no grupo e já volto aqui, tá bom? Tá bom, espero. Maria, a Mari mandou bom dia, mandou beijo aqui para você, ela tá aqui ouvindo a gente. Tá bom. Bom dia, Mari. Olá, bom dia. Oi, bom dia. Eu sou a [NOME], eu estou aqui representando a "
3cs_perfumes,mais_positivo,3,POS,11,0.846,doc_31188a538d1b01b5_pp_ch_0001,"Oi, Mari. Oi, Tha. Por enquanto, ninguém. Bom, dá tempo de você pegar uma água, qualquer coisa eu falo com eles. Tá bom. Acho que eu vou reabastecer já. Tá. Tá por aí? Eu tô, Mari. Perfumes_Mariana_Beatriz_Liliane.m... Não sei se tem uma sala de espera ou algo assim, porque a Dani falou que na outra ela tava ouvindo a gente, mas não conseguia acessar. Tem, tem sim. Tá bom, a Liliane já tá, né? Iss"
3cs_perfumes,mais_negativo,1,NEG,-3,1.0,doc_1d7aeba5c3deb241_pp_ch_0033,"Enfim, foi uma experiência bem ruim, eu achei bem ruim, bem decepcionante. E outro ponto também que acho que ficou muito contrastante, até eu acho que se a gente não tivesse ido ao Boticário antes, de repente não teria sido tão evidente. É, mas assim, quando a gente instigava e falava, e esse perfume? Quando era perfume masculino, ela só dava a fitinha olfativa para o Arthur. E quando era perfume "
3cs_perfumes,mais_negativo,2,NEG,-2,1.0,doc_33640fb8f77ec4a8_pp_ch_0026,"Eu fui, meninas, e aí, de verdade, até queria pedir pra que vocês pensassem nos próximos, e eu não sei se isso foi uma intenção ou não, mas de dar pouco mais de clareza. Porque eu achei, a gente vai visitar uma consultora, uma loja de consultora, como falaram pra gente, eu achei que ia visitar uma TN, uma que tem Natura. Alguém que fosse pouco maiorzinho, que tivesse uma loja mesmo, pra ter uma id"
3cs_perfumes,mais_negativo,3,NEG,-2,0.5,doc_761f127ebf5926ab_pp_ch_0010,"Então, tipo, eles não acham que a gente tem problema de produto. Eles acham que a gente tem problema de comunicação. E outra questão, aqui tem Natura, é que o que eles trouxeram é que a campanha demora muito versus o que tá na vitrine deles. Por quê? Porque eles seguem o calendário Ciclo, Calendário Constora. E a campanha é mais Calendário CF. Então, por exemplo, lá estava Todo Dia, que é o Todo D"
anima,mais_positivo,1,POS,19,1.0,doc_b6fd5d628bb2710e_pp_ch_0020,"Imagina. Também sei como abre, né? É lindo, legal. Aí não, mas lembra que vai ser daquele outro jeito. Muito bonito. E, ó, gente, a máscara aqui no capilar, né, que é refil dela em papel, ó, vai ser assim também. Nossa, a gente chama mais do que quiser. Muito. O que você acha disso? Bem de spa, massagens, mas... Mas é natural, né? E aí vai encaixar aqui dentro? É, tô aqui com ela agora. Nossa, man"
anima,mais_positivo,2,POS,17,1.0,doc_d7948b6302ad2fee_pp_ch_0016,"Então é melhor ainda, porque você consegue fazer compromisso com o produto. Acho que vai facilitar muito na retirada do produto. Muito bom. Ela é linda. Tá bom, eu vou passar pelo computador, acho que é melhor, então tá, né? Aí deixa pra próxima. Ó, gente, vou falar pra você. Esse aqui... É o perfil no papel da masca. Só pra vocês terem uma ideia de como vai ser. Bacana! Eu já vi esse tipo de emba"
anima,mais_positivo,3,POS,17,1.0,doc_d7948b6302ad2fee_pp_ch_0032,"É, muito radical. Muito diferente. Muito bom. Vou mostrar agora as outras opções de acabamento. Dá licença, muito obrigada. Nesse mesmo design, tá, gente? Então, a única... Vou trazer, vai ser mais fácil. Eu tô roubando o somzinho da pessoa que falou. Pode? Então, rouba pouquinho pra pessoa que faltou. Esse é bem bom, tem leite. Esse é sabor. Esse aqui? É. Obrigada. Ó, esse aqui é o Ana. Gostei ta"
anima,mais_negativo,1,NEG,-5,0.556,doc_2ea20bb0263aff60_pp_ch_0035,"Eu não vou nem olhar. Essa aqui é sempre igual, né? A do refil, é. O refil é a gotinha da. Bom, agora a gente vai complicar mais a história, hein? O que eu vou fazer? Vou trazer outros acabamentos pra esse mesmo design, tá? É esse formato aqui, só que eu vou trazer outros acabamentos além do cerâmico. O que a gente fez não? Vai complicar a cabeça da gente. Já complicou, né? Já tá complicada. Já tá"
anima,mais_negativo,2,NEG,-4,0.5,doc_295321b3ea85e862_pp_ch_0032,"Para essa aqui também, tá? A mesma que a gente fez naquela primeira. Parece sabor de banheiro. Que sabor de banheiro? Eu acho que esse material fosco nesse design já deu aquela impressão pra natureza. Aí já dá lado pra natureza. Trouxe mais natureza. Que legal. Esse lado aí do fosco já muda, já dá pra ter a impressão do natural. Ficou mais ecos? Mais cara de ecos, então. Comparado ao outro. Que in"
anima,mais_negativo,3,NEG,-3,0.13,doc_2ea20bb0263aff60_pp_ch_0037,"Muito bom. Muito bom. E aqui ficou lembrando o que? Ficou simplesinho, sim. Lembrou o que? O que vem na cabeça da gente quando a gente olha essa? Eu vou falar pouco. Não, porque como tá na cor ali, nessa cor, me remeteu a frasco de remédio. Frasco de remédio, perfeito. Eu ia falar. É, pra ela também. Então é a cor mesmo. Agora a gente vai ver a ANB. Se fosse a gente, o que a gente ia escolher? Com"
bem_maes,mais_positivo,1,POS,8,1.0,doc_399dacb2736f0f29_pp_ch_0002,"Se eu cair, também espera pouquinho que a gente logo soluciona e eu entro novamente, tá bom? Então, vamos lá. O que eu quero de vocês? Antes de mais nada, eu não conheço vocês ainda. Então, retratinho básico, tá? A idade, de onde vocês estão falando, com quem vocês moram, se vocês trabalham, se ensinam o quê. Quem quer começar? A Júlia, espera aí, acho que a Júlia está entrando. É isso, Júlia? Que"
bem_maes,mais_positivo,2,POS,8,1.0,doc_35dea0d9c934b094_pp_ch_0040,"A parte que diz que quanto mais feliz a gente é em cada de nossos papéis, mais inteira nos sentimos e nos tornamos as melhores mães que podemos ser. Muito bom o texto, eu gostei muito. Por que isso te chamou tanta atenção? Eu mudaria. No meu caso, me chamou a atenção porque, como o próprio texto já fala, que nos dias das mães a gente precisa lembrar que para a gente cuidar de quem está perto da ge"
bem_maes,mais_positivo,3,POS,6,1.0,doc_35dea0d9c934b094_pp_ch_0030,"E na hora que você pode ser a Neyse mãe, a Neyse namorada, a Neyse amiga, ter isto, você acha que isso reflete no teu filho? E sente que forma? Com certeza. Normalmente, quando ele chega na segunda-feira da casa do pai, eu passei o final de semana, não trabalhei, então eu tô mais disposta, tô mais feliz, a gente namora, a gente beija na boca, a gente conversa com outras pessoas. Então, quando ele "
bem_maes,mais_negativo,1,NEG,-2,1.0,doc_399dacb2736f0f29_pp_ch_0021,"A gente tira as noites das meninas... Tá pesado, né? Você ser mãe o dia todo, 24 horas e... É assim, gente, não foi fácil, galera, não foi fácil fazer a noite das meninas, os meninos é resistente e eles choram sim por causa do país dos meninos, mas a gente precisa desse tempo e eu acho que eles começaram a enxergar que a gente precisava desse tempo por causa da sobrecarga, né? Então a gente a noit"
bem_maes,mais_negativo,2,NEG,-2,1.0,doc_399dacb2736f0f29_pp_ch_0031,"Mas é difícil, né? Como é que eu posso te dizer? Aquele período ali da gente dar o início, pelo menos, da amamentação, quando entra o nascimento, ele tem ano e meio, né? E aí a gente fica, né? Ai, tô dando mamar e tudo mais. Mas depois, agora, pra tirar também, não é fácil, né? Sábado, a gente tinha aniversário pra ir, eu e meu marido, né? E daí, vamos deixar, a gente mora junto, a gente mora aqui"
bem_maes,mais_negativo,3,NEG,-2,1.0,doc_399dacb2736f0f29_pp_ch_0038,"O que você acha que no fim acontece essa cobrança, né? Que a gente tem que, no fundo, a gente tem que destravar portas, né? Eu acho que essa cobrança, ela já vem no modo geral da sociedade. No modo geral, a mãe é mais cobrada. O pai não é cobrado na mesma proporção que a mãe é cobrada. Nunca é. Nunca é. Por mais parceiro que seja, por mais amigo, por mais que divida todas as responsabilidades ou q"
biome,mais_positivo,1,POS,12,1.0,doc_b53730e47cc798ef_pp_ch_0006,"Depois que tem filho, as coisas ficam meio focadas, né? É, porque antes a gente gosta de sair com os amigos, essas são umas das prioridades da vida social, E aí depois do filho a gente começa a sair com os amigos que também têm filhos. A faculdade acaba ocupando boa parte do meu dia, eu faço medicina na UPE, então durante a semana não sobra muito tempo para fazer coisas que não são a faculdade, ma"
biome,mais_positivo,2,POS,12,0.857,doc_a11e5233b2bda4e2_pp_ch_0032,"Marcas de barra. Eu já usei marcas que duraram mais, mas a barra era a mais dura. E aí acho que também tem uma questão de ser gostoso de tomar banho. E aí você fica esfregando aquela barra dura na cabeça. Não é tão gostoso quanto esse da Biome, que é pouquinho mais mole. Tem formato, mas é gostoso de usar. Mais fácil de usar. Na cabeça e vocês passam na mão e depois... Como é que é? Eu passo diret"
biome,mais_positivo,3,POS,10,1.0,doc_b53730e47cc798ef_pp_ch_0003,"Então tá bom dizer então de novo, vamos fazer o seguinte, antes da gente entrar nosso tema, antes da gente conversar, eu queria que a gente pudesse se conhecer pouco melhor, né? Vocês que conhecem, aqui ninguém se conhece, aparentemente ninguém se conhece, né? Aí conta pouco, né? O que cês fazem, como é que é o dia-a-dia aí de vocês, o nominho a gente tá vendo aí de todo mundo, mas aí a gente já q"
biome,mais_negativo,1,NEG,-4,1.0,doc_813751e4679e395b_pp_ch_0022,"Na verdade, eu tenho o cabelo assim, bem parecido com o da Giovanna também, bastante oleoso, liso, então qualquer coisa, se a gente usar errado, pesa, né? A gente fica parecendo que quase não tem cabelo. Hoje, você vê assim, meu cabelo tá preso. Bota o fone e parece que ele some. Então, assim, eu tava usando o biome, ainda tenho, só que pro meu cabelo ele ressecou muito. E meu cabelo é muito sensí"
biome,mais_negativo,2,NEG,-3,0.6,doc_9ed820073ce06c76_pp_ch_0014,"Já para dar uma ajudada para ele e o lixo orgânico daí eu coloco já pelo lixeiro e o que mais essa questão dos produtos assim de higiene assim são bem importantes para o meio ambiente a questão dos frascos que eu tento ao máximo cuidar, assim. O aerosol é uma coisa que eu tô conseguindo eliminar da minha vida. Já faz alguns meses que eu tô nesse processo, porque acho que é uma coisa muito frequent"
biome,mais_negativo,3,NEG,-2,1.0,doc_b53730e47cc798ef_pp_ch_0012,"Assim, falar qualquer coisa depois dessa aula de Júlia, acho que fica até como se fosse superficial, né? Mas... Todo mundo aqui tem a sua voz, né? Fala da sua voz. Mas, assim, essa questão é essencial, assim, tipo, eu acho que a gente vai ser uma das primeiras gerações que vai pegar mundo muito pior do que os nossos pais pegaram. Então, assim, não tem como ficar calado, conformado vendo, tipo, né,"
compras_digitais,mais_positivo,1,POS,14,1.0,doc_0f20528122df94e9_pp_ch_0030,"Funciona. Não precisa de uma... Não precisou e você acha que não precisaria da explicação da. Consultora. Então, isso é no meu caso. Agora, por exemplo, levando isso para... Não sei se... Mas assim, por exemplo, a revista que você mostrou, talvez para uma pessoa mais velha, idoso, eu acho que para ele é muito mais fácil ficar só ali clicando para ir passando de página. Talvez seja muito mais fácil"
compras_digitais,mais_positivo,2,POS,13,1.0,doc_6e02133bb486de22_pp_ch_0022,"Gente, eu acho ela super funcional. Super o quê? Funcional, prático demais. Me fala o que mais te chamou atenção, fala. Não, me chama atenção porque é bem prático, é ótimo, porque o clipe ali é perfeito, é como se eu estivesse comprando alguma coisa na internet qualquer. Também me chama atenção porque ela nunca me sinalizou que podia fazer isso. A costura, né? Eu não percebi e ela não me sinalizou"
compras_digitais,mais_positivo,3,POS,12,1.0,doc_c9defe6cce5ff1fd_pp_ch_0003,"Tá bom. Queria começar, Luana, contando pouquinho sobre você, de onde você está falando, quantos anos você tem, o que você faz, com quem você mora. Eu estou falando do Leblon, Rio de Janeiro, Eu moro com o meu filho mais novo e meu esposo. No momento, eu não trabalho de carteira assinada, eu trabalho no ramo alimentício, para mim mesmo, sou autônoma, na verdade. O que você faz? Eu faço comida, aí "
compras_digitais,mais_negativo,1,NEG,-7,0.636,doc_eb6a4496f5f5d136_pp_ch_0021,"Você falou que você compra não necessariamente produtos de cuidados pessoais, mas que você compra na Enjuei também, né? Olha, na Enjuei eu comprei uma vez. Aliás, eu lembro que eu até queria tentar colocar uma coisa pra vender na Enjuei. Uma amiga minha que faz muita compra, ela vende e compra. Foi ela que me falou da Enjuei. E eu fui tentar vender, eram uns copos uma vez, e também uma vez eu comp"
