segment_col,segment_value,label_col,label,auto_label,n_chunks_segment_label,n_chunks_segment_total,share_in_segment,global_share,diff_pp_vs_global,lift_vs_global,insight_score,representative_excerpt,insight_sentence
projeto,compras_digitais,lda_topic_id,lda_08,comprar / revista / compra / site,423,492,0.8597560975609756,0.09987942122186495,0.7598766763391106,8.607940324876086,2445.4037805218754,"Tá. Então, deixa para a última hora que é testar mesmo que você tenha visto lá a pessoa mostrando que não confia. Mais alguma razão? A agilidade de, pô, comprei e já estou com o produto. Não preciso ficar esperando. Me fala pouquinho da compra online. Bom, a compra online é... Normalmente eu faço compra online de produtos que eu já conheço. E quando eu sei que, por exemplo, ai, falta ainda uma semana pra acabar, daqui uma semana eu não vou ter. Então eu sei que se eu comprar pela internet daqui uma semana eu já vou ter recebido. Quais são as vantagens que você... Além da loja física, do online, tem alguma outra forma que você compra Sei lá, às vezes através de algum profissional. Ou não Antes eu comprava muito em revista Mas hoje em dia eu compro em revista quando, por exemplo, me mandam mensagem aí vai estar em tal... Sua base, sua base vai estar em promoção Aí eu sei que nem na loja vi","Em projeto = compras_digitais, o tema 'comprar / revista / compra / site' aparece em 86.0% dos chunks vs. 10.0% no total (lift 8.61x; n=423)."
projeto,rosacea,lda_topic_id,lda_07,produto / pele / propaganda / natura,503,539,0.9332096474953617,0.17142282958199356,0.7617868179133682,5.443905282458289,1702.8101575088508,"Apareceu como mensagem direta, é isso? Fernanda, tá certinho, mensagem direta, porque aí vem só pra mim. Eu não achei. No chat, achou o chat ou o bate-papo? Chatte, achei. Isso, clica aí. Oi. Oi. Aí o que está escrito, anfitrião e palestrante, vê se consegue mudar para Ana Paula. Kelly, achou aí? Eu mudei. Achei, Ana Paula. Isso, manda para mim aí, de novo, o Jaqueline. Maravilha, a da Jaqueline chegou, falta a da Kelly. Não tá conseguindo enviar, É, o meu também não tá enviando. Peraí, eu tinha enviado, vamos ver se foi. A Kelly mandou. Tá, o meu foi, né? Foi, o seu foi. O meu não foi não. Clica aí de novo, vê se você consegue mandar pra todo mundo, Bri. Maravilha. Shirley, consegue mandar pra todo mundo. Ótimo, maravilha. Então, Eu vou mostrar aqui uma ideia pra vocês e a gente vai conversar sobre ela. Tá todo mundo vendo a minha tela? Sim, tem. Tá bom. E se você fosse mais amiga do te","Em projeto = rosacea, o tema 'produto / pele / propaganda / natura' aparece em 93.3% dos chunks vs. 17.1% no total (lift 5.44x; n=503)."
projeto,anima,lda_topic_id,lda_03,produto / embalagem / parece / ver,368,406,0.9064039408866995,0.142483922829582,0.7639200180571175,6.3614471224996,1507.2237760086405,"Posso pôr sua bolsa aqui? Me incomoda ficar com a gente assim com a bolsa. Desculpa, não vou te deixar sozinha na cama. Bom, meninas, muito bom. Bom, eu sou a [NOME], eu vou falar com vocês, né? Vamos lá! Eu sei que tem coisa pra ver e eu tenho muita coisa. O que eu vou mostrar pra vocês? Eu vou mostrar naturecos. Tá pensando em mudar a embalagem? Três opções, vocês não vão querer mais do que três, mas três grandes linhas de possíveis mudanças de embalagem. O que é super importante vocês entenderem? Primeiro, tudo ainda é preliminar, não tá finalizado, a gente tá fazendo testes, ouvindo as pessoas, então vocês vão ver, dá pra ter uma boa ideia do que é, mas fiquem muito à vontade pela opinião, falem o que vocês pensam. A gente sempre vai ter bode que ele mostra visualmente como vão ser essas embalagens. Então, como é que a gente vai ver na revista, como é que a gente vai ver se a gente p","Em projeto = anima, o tema 'produto / embalagem / parece / ver' aparece em 90.6% dos chunks vs. 14.2% no total (lift 6.36x; n=368)."
publico,consumidoras,lda_topic_id,lda_06,presente / mae / dar / gosto,182,261,0.6973180076628352,0.06531350482315113,0.6320045028396841,10.67647509578544,1113.034801451748,"Que legal. Não. E você, já vamos falar mais disso aí, eu quero saber mais sobre isso que você tá falando, hein? Mas você trabalha com o quê? Desculpa, não sei se você falou, que eu não ouvi. É a área contábil. A área contábil, tá, legal. E na Zona Sul, né, que você falou. É, eu comecei a faculdade, mas foi justo 2019, aí de 2020 houve a pandemia, tranquei e não voltei ainda. Tá. O que você estudava na faculdade? Contabilidade? Ciências contábeis. Ciências contábeis. Legal. Mas eu vou voltar. Vai sim, vai sim, já você volta. E me fala uma coisa, você fala uma coisa que eu fiquei muito curioso em saber, quer dizer que você gosta de dar presentinho aqui, presentinho ali, é isso? Conta mais. Mas... É, quero saber. Eu sou a [NOME] presentes da empresa. Então, todo mês tem dois, três aniversariantes, sou eu a responsável. Então a gente faz aquele rateio, né? E eu vou lá e compro. A maioria das","Em publico = consumidoras, o tema 'presente / mae / dar / gosto' aparece em 69.7% dos chunks vs. 6.5% no total (lift 10.68x; n=182)."
projeto,mercato_brasil,lda_topic_id,lda_01,natura / tempo / pedido / depois,404,516,0.7829457364341085,0.1483118971061093,0.6346338393279991,5.279048759479843,1097.1141737317635,"Você começou a vender na pandemia, praticamente? É, justamente eu parei de trabalhar, aí engravidei, tive a minha filha e tudo. Mais, aí tô... E só na cura. Você vende ou você vende? Então, eu vendo a Dora, né? Também igual ela, então eu me ofereci no The Milos, mas tô vendo ainda, Se eu pegar no The Milos. Mas dois anos e meio eu era natura e agora vou, né? Ter recente. E o Dora, quanto tem? O Dora tem ano, mais ou menos. Muito bom. Meu nome é Jaqueline, moro na Zona Leste, Itaquera. E eu venho da Natura desde 2020. E aí eu me cadastrei pra ter desconto, porque eu acabava gastando muito. Com consultora, e foi uma época que eu morei no interior, então ficava enviado vir pra São Paulo pegar as coisas, falei, vou me cadastrar e dar uma economizada, só que daí acabou virando negócio, sem querer. Sem querer, porque aí eu comprava, as pessoas sempre me perguntavam, e o seu perfume? Comprei de","Em projeto = mercato_brasil, o tema 'natura / tempo / pedido / depois' aparece em 78.3% dos chunks vs. 14.8% no total (lift 5.28x; n=404)."
projeto,radiosa,lda_topic_id,lda_05,pele / corpo / uso / gosto,267,474,0.5632911392405063,0.08139067524115756,0.48190046399934877,6.92083137990311,761.8181209263358,"Mas tenho insistido nisso para aprender, falo, escrevo e compreendo bem espanhol. Trabalhei durante muitos anos num laboratório argentino, então consegui desenvolver bem. Tenho facilidade comunicação, com processos, fluxos, gosto muito de também criar conexão com as pessoas, gosto muito de fazer novas amizades, de entender onde as pessoas estão, de conectar, de... Conhecer novas histórias. Acho que é isso. Gosto muito de ler, gosto de aprender coisas novas. Tá ótimo, tá ótimo! Tá bom. Tá ótimo, a gente tem... Tá ótimo, Egane. Agora vamos lá, que a gente tem monte de coisa pra conversar também. Quero saber outros lados seus. Vamos lá, brigadão. Gente, é... Tá aí todo mundo, né? Sheila também tá aí. Legal, obrigada, Sheila. Diana tá voltando. Se vocês fecham a câmera, eu não vejo a carinha de vocês por algum motivo aqui, mas tá tudo bem. Meninas, quando a gente pensa... Eu queria pensar po","Em projeto = radiosa, o tema 'pele / corpo / uso / gosto' aparece em 56.3% dos chunks vs. 8.1% no total (lift 6.92x; n=267)."
projeto,jack_pearson,lda_topic_id,lda_03,produto / embalagem / parece / ver,179,200,0.895,0.142483922829582,0.752516077170418,6.281410437235543,711.4079812838154,"Então, tudo que ela vai oferecer, E no futuro aqui, então por exemplo, pra barba vai ter creme de barbear, vai ter balme pós-barba, vai ter óleo finalizador de barba, vai ter espuma de barbear, vai ter gel de barbear. Pra cabelos, vai ter shampoo dois em shampoo anti-caspa, shampoo anti-queda, loção anti-queda e pomada modeladora. Pra corpo, vai ter desodorante roll-on, vai ter sabonete em barra, sabonete límpido, hidratante corporal, hidratante para as mãos e áreas ressecadas, hidratante para o rosto, PRO-AID. E por fim, na parte de perfumaria, vai ter DEL- COLONIA e DEL-PARFUM e DEL-SPRAY e REFIL, tá? Então, só para vocês terem uma visão geral aí do que vai ser o futuro dessa marca, tá bom? Mas como eu disse para vocês, não é esse o nosso foco, então vou até parar de compartilhar aqui para a gente conversar pouquinho. O que acontece, gente? Toda essa linha aí que vocês viram, toda essa","Em projeto = jack_pearson, o tema 'produto / embalagem / parece / ver' aparece em 89.5% dos chunks vs. 14.2% no total (lift 6.28x; n=179)."
projeto,3cs_perfumes,lda_topic_id,lda_02,loja / boticario / natura / experiencia,295,485,0.6082474226804123,0.11053054662379422,0.4977168760566181,5.502980318650421,661.156742657221,"Eu começo, Dri? Posso começar? Pode começar, Will, até eu garantir que eu tô bem conectada aqui. Tô escutando, tá? Boa, então. Beleza, então. Então, Mari, a Dri e eu, a gente visitou quatro lojas. A primeira loja foi da Natura. A gente visitou uma loja da Natura, era ATN, aqui tem Natura, provavelmente Na minha opinião, a mesma pessoa que atendeu, a gente provavelmente era a mesma consultora gerente da loja, ela parecia ser a pessoa que geria lá. Foi atendimento bem interessante assim, porque a gente simulou, a Adri, ela ajudou a gente a simular uma compra de perfume para ela. Foi perfume, a primeira coisa que a atendente nos ajudou a entender, a primeira coisa que a atendente nos direcionou foi para a marca essencial, e isso já nos levantou algumas evidências do quanto essencial é importante nordeste e em várias outras coisas que a gente acabou fazendo na visita à Recife. Então, a marca","Em projeto = 3cs_perfumes, o tema 'loja / boticario / natura / experiencia' aparece em 60.8% dos chunks vs. 11.1% no total (lift 5.50x; n=295)."
tipo_sessao,entrevista_em_profundidade,lda_topic_id,lda_02,loja / boticario / natura / experiencia,295,485,0.6082474226804123,0.11053054662379422,0.4977168760566181,5.502980318650421,661.156742657221,"Eu começo, Dri? Posso começar? Pode começar, Will, até eu garantir que eu tô bem conectada aqui. Tô escutando, tá? Boa, então. Beleza, então. Então, Mari, a Dri e eu, a gente visitou quatro lojas. A primeira loja foi da Natura. A gente visitou uma loja da Natura, era ATN, aqui tem Natura, provavelmente Na minha opinião, a mesma pessoa que atendeu, a gente provavelmente era a mesma consultora gerente da loja, ela parecia ser a pessoa que geria lá. Foi atendimento bem interessante assim, porque a gente simulou, a Adri, ela ajudou a gente a simular uma compra de perfume para ela. Foi perfume, a primeira coisa que a atendente nos ajudou a entender, a primeira coisa que a atendente nos direcionou foi para a marca essencial, e isso já nos levantou algumas evidências do quanto essencial é importante nordeste e em várias outras coisas que a gente acabou fazendo na visita à Recife. Então, a marca","Em tipo_sessao = entrevista_em_profundidade, o tema 'loja / boticario / natura / experiencia' aparece em 60.8% dos chunks vs. 11.1% no total (lift 5.50x; n=295)."
projeto,havana_iii,lda_topic_id,lda_05,pele / corpo / uso / gosto,95,126,0.753968253968254,0.08139067524115756,0.6725775787270964,9.263570448755633,527.9997593861607,"Deixa eu dividir pra vocês a minha tela e quando todo mundo estiver vendo grandão, eu começo a ler e a gente lê juntas, né? Na verdade. Todo mundo tá conseguindo ver? Sim. Sim? Então, vamos lá. Natura Todo Dia Energia te convida a começar o seu dia com mais disposição. É uma experiência de bem-estar matinal comprovada por especialistas. Linha com produtos que ativam seu corpo e despertam a mente. Uma linha com produtos que combina a fragrância energizante de flor de gengibre e tangerina com o poder da nutrição prebiótica mais vitamina E, que nutre e protege profundamente a sua pele. Os produtos se unem em ritual exclusivo de automassagem, que auxilia a circulação e desperta seus sentidos, eliminando toxinas e oxigenando seu corpo, trazendo assim mais disposição, vitalidade e bem-estar pra você. Todo dia é energia. Você pronta pra novo dia. Deu pra todo mundo acompanhar a leitura? Tá todo","Em projeto = havana_iii, o tema 'pele / corpo / uso / gosto' aparece em 75.4% dos chunks vs. 8.1% no total (lift 9.26x; n=95)."
