solution,persona_id,persona_nome_auto,n_entrevistas,share_entrevistas,dimensoes_base,oportunidade_produto,oportunidade_comunicacao,oportunidade_canal,oportunidade_preco_promocao,riscos_barreiras
granular_k10,granular_k10_p01,comparadora de marcas + guiada por marca e confiança,34,0.21935483870967742,"comparadora de marcas; guiada por marca e confiança; sensível a preço e valor; sensorial e prazer de uso; canal, loja e consultora; estética, presente e status; social/familiar e influenciada por indicação","Explorar fragrância, textura, toque, ritual de uso e experiência sensorial. Trabalhar embalagem, kits presenteáveis, edição especial e aparência premium.","Explicitar por que o produto vale o preço, evitando só linguagem aspiracional. Usar descrições sensoriais e emocionais, não só funcionais. Ancorar a proposta em confiança, tradição, reputação e consistência da marca. Valorizar estética, desejo, ocasião de presente e orgulho de entregar/usar.","Fortalecer loja/consultora/WhatsApp com material comparativo, argumentos e amostras. Explorar indicação, prova social, kits para família/presente e compartilhamento.","Testar bundles, kits de entrada, descontos claros e comunicação de custo-benefício.",Pode rejeitar proposta se o preço parecer desconectado do benefício percebido. Mudanças muito bruscas de identidade podem gerar estranhamento. Comparação com concorrentes é parte central da decisão.
granular_k10,granular_k10_p03,social/familiar e influenciada por indicação + entusiasmada/encantada,20,0.12903225806451613,"social/familiar e influenciada por indicação; entusiasmada/encantada; crítica/rejeição explícita; estética, presente e status; prática e orientada à rotina; canal, loja e consultora; sensível a preço e valor","Trabalhar embalagem, kits presenteáveis, edição especial e aparência premium. Simplificar modo de uso, tamanho, aplicação, refill e integração na rotina.","Explicitar por que o produto vale o preço, evitando só linguagem aspiracional. Valorizar estética, desejo, ocasião de presente e orgulho de entregar/usar. Mostrar como entra no dia a dia sem esforço. Criar scripts de venda por persona e objeção.","Priorizar experiência de compra rápida, reposição e lembretes. Fortalecer loja/consultora/WhatsApp com material comparativo, argumentos e amostras. Explorar indicação, prova social, kits para família/presente e compartilhamento.","Testar bundles, kits de entrada, descontos claros e comunicação de custo-benefício.",Pode rejeitar proposta se o preço parecer desconectado do benefício percebido. Há sinais de rejeição explícita; priorizar leitura das evidências antes de tomar decisão.
granular_k10,granular_k10_p05,"canal, loja e consultora + sensível a preço e valor",18,0.11612903225806452,"canal, loja e consultora; sensível a preço e valor; prática e orientada à rotina; cética ou indecisa; entusiasmada/encantada; crítica/rejeição explícita; curiosa por inovação e novidade","Simplificar modo de uso, tamanho, aplicação, refill e integração na rotina. Testar novidades, tecnologia, claims modernos e formatos diferentes.","Explicitar por que o produto vale o preço, evitando só linguagem aspiracional. Mostrar como entra no dia a dia sem esforço. Criar scripts de venda por persona e objeção. Explicar a inovação de forma tangível, sem jargão excessivo.","Priorizar experiência de compra rápida, reposição e lembretes. Fortalecer loja/consultora/WhatsApp com material comparativo, argumentos e amostras. Amostras, consultoria assistida e demonstração podem ajudar conversão.","Testar bundles, kits de entrada, descontos claros e comunicação de custo-benefício.","Pode rejeitar proposta se o preço parecer desconectado do benefício percebido. Há sinais de rejeição explícita; priorizar leitura das evidências antes de tomar decisão. Indecisão/ceticismo: precisa de comparação, teste, amostra ou explicação simples."
granular_k10,granular_k10_p06,"estética, presente e status + crítica/rejeição explícita",18,0.11612903225806452,"estética, presente e status; crítica/rejeição explícita; canal, loja e consultora; sensível a preço e valor; guiada por marca e confiança; comparadora de marcas; identidade e representatividade","Trabalhar embalagem, kits presenteáveis, edição especial e aparência premium. Garantir adequação para diferentes tons, tipos de pele/cabelo e necessidades reais.","Explicitar por que o produto vale o preço, evitando só linguagem aspiracional. Ancorar a proposta em confiança, tradição, reputação e consistência da marca. Valorizar estética, desejo, ocasião de presente e orgulho de entregar/usar. Criar scripts de venda por persona e objeção.","Fortalecer loja/consultora/WhatsApp com material comparativo, argumentos e amostras.","Testar bundles, kits de entrada, descontos claros e comunicação de custo-benefício.",Pode rejeitar proposta se o preço parecer desconectado do benefício percebido. Mudanças muito bruscas de identidade podem gerar estranhamento. A persona tende a perceber rapidamente comunicação pouco autêntica. Há sinais de rejeição explícita; priorizar leitura das evidências antes de tomar decisão.
granular_k10,granular_k10_p04,curiosa por inovação e novidade + orientada a eficácia e resultado,14,0.09032258064516129,curiosa por inovação e novidade; orientada a eficácia e resultado; cuidado pessoal e pele/corpo; prática e orientada à rotina; cética ou indecisa; consciente/natural/sustentável; identidade e representatividade,"Priorizar claims funcionais, antes/depois, duração, performance e benefício mensurável. Destacar ingredientes, refil, impacto ambiental, naturalidade e rastreabilidade. Simplificar modo de uso, tamanho, aplicação, refill e integração na rotina. Segmentar por necessidade específica de pele/corpo/cabelo e momento de cuidado.","Usar prova, demonstração e linguagem concreta de resultado. Mostrar sustentabilidade de forma simples e verificável. Mostrar como entra no dia a dia sem esforço. Conectar benefício técnico com autocuidado e sensação na pele.","Priorizar experiência de compra rápida, reposição e lembretes. Amostras, consultoria assistida e demonstração podem ajudar conversão.",,"Promessas vagas podem gerar ceticismo ou frustração. Evitar greenwashing ou claims genéricos sem prova. A persona tende a perceber rapidamente comunicação pouco autêntica. Indecisão/ceticismo: precisa de comparação, teste, amostra ou explicação simples."
granular_k10,granular_k10_p00,consciente/natural/sustentável + curiosa por inovação e novidade,12,0.07741935483870968,"consciente/natural/sustentável; curiosa por inovação e novidade; cética ou indecisa; entusiasmada/encantada; estética, presente e status; prática e orientada à rotina; crítica/rejeição explícita","Destacar ingredientes, refil, impacto ambiental, naturalidade e rastreabilidade. Trabalhar embalagem, kits presenteáveis, edição especial e aparência premium. Simplificar modo de uso, tamanho, aplicação, refill e integração na rotina. Testar novidades, tecnologia, claims modernos e formatos diferentes.","Mostrar sustentabilidade de forma simples e verificável. Valorizar estética, desejo, ocasião de presente e orgulho de entregar/usar. Mostrar como entra no dia a dia sem esforço. Explicar a inovação de forma tangível, sem jargão excessivo.","Priorizar experiência de compra rápida, reposição e lembretes. Amostras, consultoria assistida e demonstração podem ajudar conversão.",,"Evitar greenwashing ou claims genéricos sem prova. Há sinais de rejeição explícita; priorizar leitura das evidências antes de tomar decisão. Indecisão/ceticismo: precisa de comparação, teste, amostra ou explicação simples."
granular_k10,granular_k10_p02,consciente/natural/sustentável + cuidado pessoal e pele/corpo,12,0.07741935483870968,consciente/natural/sustentável; cuidado pessoal e pele/corpo; curiosa por inovação e novidade; identidade e representatividade; cética ou indecisa; sensorial e prazer de uso; orientada a eficácia e resultado,"Priorizar claims funcionais, antes/depois, duração, performance e benefício mensurável. Explorar fragrância, textura, toque, ritual de uso e experiência sensorial. Destacar ingredientes, refil, impacto ambiental, naturalidade e rastreabilidade. Segmentar por necessidade específica de pele/corpo/cabelo e momento de cuidado.","Usar prova, demonstração e linguagem concreta de resultado. Usar descrições sensoriais e emocionais, não só funcionais. Mostrar sustentabilidade de forma simples e verificável. Conectar benefício técnico com autocuidado e sensação na pele.","Amostras, consultoria assistida e demonstração podem ajudar conversão.",,"Promessas vagas podem gerar ceticismo ou frustração. Evitar greenwashing ou claims genéricos sem prova. A persona tende a perceber rapidamente comunicação pouco autêntica. Indecisão/ceticismo: precisa de comparação, teste, amostra ou explicação simples."
granular_k10,granular_k10_p07,consciente/natural/sustentável + cuidado pessoal e pele/corpo,10,0.06451612903225806,consciente/natural/sustentável; cuidado pessoal e pele/corpo; orientada a eficácia e resultado; prática e orientada à rotina; curiosa por inovação e novidade; identidade e representatividade; sensorial e prazer de uso,"Priorizar claims funcionais, antes/depois, duração, performance e benefício mensurável. Explorar fragrância, textura, toque, ritual de uso e experiência sensorial. Destacar ingredientes, refil, impacto ambiental, naturalidade e rastreabilidade. Simplificar modo de uso, tamanho, aplicação, refill e integração na rotina.","Usar prova, demonstração e linguagem concreta de resultado. Usar descrições sensoriais e emocionais, não só funcionais. Mostrar sustentabilidade de forma simples e verificável. Mostrar como entra no dia a dia sem esforço.","Priorizar experiência de compra rápida, reposição e lembretes.",,Promessas vagas podem gerar ceticismo ou frustração. Evitar greenwashing ou claims genéricos sem prova. A persona tende a perceber rapidamente comunicação pouco autêntica.
granular_k10,granular_k10_p09,cética ou indecisa + consciente/natural/sustentável,9,0.05806451612903226,cética ou indecisa; consciente/natural/sustentável; sensorial e prazer de uso; guiada por marca e confiança; comparadora de marcas; cuidado pessoal e pele/corpo; identidade e representatividade,"Explorar fragrância, textura, toque, ritual de uso e experiência sensorial. Destacar ingredientes, refil, impacto ambiental, naturalidade e rastreabilidade. Segmentar por necessidade específica de pele/corpo/cabelo e momento de cuidado. Garantir adequação para diferentes tons, tipos de pele/cabelo e necessidades reais.","Usar descrições sensoriais e emocionais, não só funcionais. Mostrar sustentabilidade de forma simples e verificável. Ancorar a proposta em confiança, tradição, reputação e consistência da marca. Conectar benefício técnico com autocuidado e sensação na pele.","Amostras, consultoria assistida e demonstração podem ajudar conversão.",,"Evitar greenwashing ou claims genéricos sem prova. Mudanças muito bruscas de identidade podem gerar estranhamento. A persona tende a perceber rapidamente comunicação pouco autêntica. Indecisão/ceticismo: precisa de comparação, teste, amostra ou explicação simples."
granular_k10,granular_k10_p08,cuidado pessoal e pele/corpo + identidade e representatividade,8,0.05161290322580645,cuidado pessoal e pele/corpo; identidade e representatividade; orientada a eficácia e resultado; entusiasmada/encantada; sensorial e prazer de uso; prática e orientada à rotina; social/familiar e influenciada por indicação,"Priorizar claims funcionais, antes/depois, duração, performance e benefício mensurável. Explorar fragrância, textura, toque, ritual de uso e experiência sensorial. Simplificar modo de uso, tamanho, aplicação, refill e integração na rotina. Segmentar por necessidade específica de pele/corpo/cabelo e momento de cuidado.","Usar prova, demonstração e linguagem concreta de resultado. Usar descrições sensoriais e emocionais, não só funcionais. Mostrar como entra no dia a dia sem esforço. Conectar benefício técnico com autocuidado e sensação na pele.","Priorizar experiência de compra rápida, reposição e lembretes. Explorar indicação, prova social, kits para família/presente e compartilhamento.",,Promessas vagas podem gerar ceticismo ou frustração. A persona tende a perceber rapidamente comunicação pouco autêntica.
