topic_id,topic_str,label,top_terms,rank,doc_id,chunk_id,nmf_score,trecho
0,nmf_00,boticario / natura / perfume / vende,boticario; natura; perfume; vende; marca; marcas; vender; perfumaria; perfumes; avon; essencial; clientes; cliente; natura boticario; cheiro,1,doc_eeb118edb6d745e0,doc_eeb118edb6d745e0_pp_ch_0024,0.8122,"Se a comissão acabar se igualando, ela vai vender boticário. Bom, é... E tem uma demanda maior com o Boticário? Não, ela tem uma demanda maior com a Natura. São os clientes fiéis dela, a Natura, de anos. Vira e mexe outro pé de vodkaro e isso acontece, mas pouco. Ela é quase exclusiva, ela vende muito mais natura mesmo. Ela é uma pessoa de uma classe mais baixa, acho que era classe D, então dava pra ver que é uma pessoa mais simples mesmo do que a gente aqui e tudo. Então tinha aí uma limitação de conhecimento mais profundo das marcas que ela vende. Poxa, por mais que ela venda há muito tempo,"
0,nmf_00,boticario / natura / perfume / vende,boticario; natura; perfume; vende; marca; marcas; vender; perfumaria; perfumes; avon; essencial; clientes; cliente; natura boticario; cheiro,2,doc_5c06d290f301eadb,doc_5c06d290f301eadb_pp_ch_0005,0.6808,"Olha, são duas excelentes marcas eu acho que ainda existe sabu com a perfumaria da Natura, tá? Sim, diminuindo, né? Mas ainda em relação ao Boticário, perfumes sempre eu vendo mais do Boticário que da Natura. Mesmo a Natura tendo perfumes maravilhosos, né? Como a Luna, o Essencial. Então, eu sempre mando a mostra clientes, quando eles me enviam, pra conhecer o produto e e saber. Tem sim algumas clientes que já conhecem e gostam e usam a Natura, mas eu tenho clientes que é só Boticário. Aí eu acho que é mais perfil de cada né? Eu gosto das duas, eu tenho perfume das duas. Tenho produto das duas"
0,nmf_00,boticario / natura / perfume / vende,boticario; natura; perfume; vende; marca; marcas; vender; perfumaria; perfumes; avon; essencial; clientes; cliente; natura boticario; cheiro,3,doc_1d7aeba5c3deb241,doc_1d7aeba5c3deb241_pp_ch_0022,0.6679,"Pensando mais em produto, além disso que os clientes falam que o Boticário tem melhor duração, ela traz alguma percepção dela também em relação à diferença de produto? Sim, ela pessoalmente gosta de perfumes que façam você... Para ela o perfume é para você ser elogiada. Essa é a relação dela com o perfume. Para você sentir bem e para o outro te elogiar. Essa é a relação dela. Então ela gosta de perfumes que ela chama de agradável, chamativo e sexy. Esses foram os termos que ela usou. E que ela adora perfume doce, então ela tá sempre mudando, mas sempre tem que ser sexy, chamativo e doce. E aí "
1,nmf_01,propaganda / impressao / propagandas / mulheres,propaganda; impressao; propagandas; mulheres; mulher; produto; marca; tempo; expressao; pele; amiga tempo; passa; duas semanas; mostra; idade,1,doc_8f0f9dbe32c1bce3,doc_8f0f9dbe32c1bce3_pp_ch_0027,0.9506,"Como é que chama? Aumenta a nossa autoestima, essas coisas. A gente se preocupa bastante com isso e tenta buscar, tipo, todos os nichos de mulheres, assim, tipo, tem as da natureza, que nem o outro, daí você mostra umas pessoas mais elegantes, assim, tipo, digamos assim. Alguém mais percebeu isso aí que a Beatriz está falando, de que ela tenta alcançar todos os tipos, né? Isso que você falou, todos os tipos de mulheres. É, que ela tem todos os nichos de mulheres, assim. Mulheres. Sim, eu concordo. Me fala, quem concordou? Karina? Eu achei legal. Eu acho que nessa outra é mais para todas as ida"
1,nmf_01,propaganda / impressao / propagandas / mulheres,propaganda; impressao; propagandas; mulheres; mulher; produto; marca; tempo; expressao; pele; amiga tempo; passa; duas semanas; mostra; idade,2,doc_20c080a645217030,doc_20c080a645217030_pp_ch_0029,0.9419,"Eu vou mostrar uma outra propaganda pra vocês e a gente vai conversar sobre ela, tá? E se você fosse mais amiga do tempo? Reduza rugas e linhas de expressão em duas semanas com o super sero de Natura Chronos. Volta de novo, tá? E se você fosse mais amiga de tempo? Ter duas arrugas e linhas de expressão em duas semanas com o super sérum de Natura Chronos? Se você fosse amiga... E essa? Quem quer comentar? Que impressão que passou? Para mim, a impressão que passou é que, independente da sua idade, você sempre vai poder ter o seu cuidado com a sua pele. Então, assim, que nem você falou do tempo, "
1,nmf_01,propaganda / impressao / propagandas / mulheres,propaganda; impressao; propagandas; mulheres; mulher; produto; marca; tempo; expressao; pele; amiga tempo; passa; duas semanas; mostra; idade,3,doc_8f0f9dbe32c1bce3,doc_8f0f9dbe32c1bce3_pp_ch_0021,0.9352,"Eu acho que eu colocaria como palavra-chave saúde. Porque saúde, porque a natureza, esse contato com a natureza e a imagem que a propaganda passa é de que esse contato traz saúde, traz, como tem no final, bem-estar. Então eu pensaria em saúde. Eu pensaria que a natureza te faz bem. Tudo que é da natureza te faz bem. Eu pensaria também da natureza, da reconexão com a natureza que a gente está perdendo. O uso físico que a gente usa, que a gente tem. Acho que eu usaria brasilidade. Na minha cabeça, vai de uma coisa ao retorno à sabedoria ancestral. Esse negócio de você pegar coisas da natureza e "
2,nmf_02,idade / trabalho / casa / filhos,idade; trabalho; casa; filhos; nome; mae; tempo; vida; filho; semana; mora; moro; seu; momento; faco,1,doc_295321b3ea85e862,doc_295321b3ea85e862_pp_ch_0003,0.9883,"E com o que você mora, Jéssica? Eu moro com meus pais no momento. Legal, tá ótimo. Obrigada a você. Muito obrigada. E você? Boa tarde, meu nome é Gisele, eu tenho [IDADE] anos, sou casada, moro com a minha filha no ar livre. Legal. Nas horas de lazer, piscina no [ENDERECO], parque. Tranquilo. Trabalho com construção civil, mas na área de vendas. E você? Olá, meu nome é Consueli, tenho [IDADE] anos, sou enfermeira, sou casada, tenho. Bebê de 6 meses e nas horas. Livres eu fico com uma família. Eu sei mais, tipo, nas horas livres eu gosto de filme. Posso te fazer frango? Então, com amor. Obrigad"
2,nmf_02,idade / trabalho / casa / filhos,idade; trabalho; casa; filhos; nome; mae; tempo; vida; filho; semana; mora; moro; seu; momento; faco,2,doc_1434a07027866aa7,doc_1434a07027866aa7_pp_ch_0003,0.9801,"É uma tranquilidade, né? O Rebeca, e seu marido faz o que? Ele trabalha de costura também. De costura. Mas vocês costuram para clientes ou trabalham em alguma empresa, alguma fábrica comum? Então, eu trabalho para uma empresa, eles trazem pouco de corte, tipo assim, uma vestida, alguma coisa assim, eles trazem pouco, a gente faz isso também. E me conta, você falou que faz monte de coisa, como cabe tudo isso no seu dia-a-dia? Como é que é dia assim? Você acorda... É corrido. É corrido. Mas eu gosto. Tipo assim, se eu pudesse agora escolher o que eu realmente quero, eu me arrependo de não ter es"
2,nmf_02,idade / trabalho / casa / filhos,idade; trabalho; casa; filhos; nome; mae; tempo; vida; filho; semana; mora; moro; seu; momento; faco,3,doc_bd7e79d2d8b662f0,doc_bd7e79d2d8b662f0_pp_ch_0005,0.9392,"Então, gente, eu gosto bastante de dançar de salão. Já entrei várias vezes pra fazer dança. Esse esporte, né, não deixa de ser uma oportunidade de artista no esporte. Porém, né, enfim, a correria acaba desistindo, mas agora eu vou pegar firme. Matriculei, comecei essa semana, agora vou. Mas começa assim no fim do ano, é bom. É, no fim do ano, né? Chega as festas do fim de ano, em janeiro você tá aqui desanimada, começa as aulas de fevereiro, né? Começa a se estressar, já lá, já chuta o balde. Obrigada, Viomara. E você? Eu sou a [NOME], tenho [IDADE] anos, moro com os meus pais, sou educadora f"
3,nmf_03,corpo / banho / uso / hidratante,corpo; banho; uso; hidratante; passo; creme; pele; sabonete; gosto; oleo; cheiro; rosto; usa; usar; noite,1,doc_80a271097010f616,doc_80a271097010f616_pp_ch_0004,0.9983,"E Mariana, pensando então nos produtos mais específicos que você pensa quando a gente fala de cuidados pessoais, quais os produtos que você costuma utilizar? Eu uso bastante coisa. Eu uso sabonete e marra, o comum. Eu uso óleo corporal também, não é todo dia, eu uso uma vez por semana. Eu uso creme hidratante todos os dias, às vezes uma vez ou duas por dia. Hidratante de rosto ou corporal? Não, corporal. Daqui a pouco eu vou para a parte de rosto. Assim, de corpo é isso, e perfume. Perfume eu passo também de manhã, que aí eu desço com a minha cachorra para passear, não sei o que, e reforço dep"
