persona_id,persona_nome_auto,rank,doc_id,chunk_id,evidence_score,excerpt,projeto,pais,marca_foco,publico,tipo_sessao,cluster_auto_label,nmf_topic_label,lda_topic_label
persona_00,Cuidadora Consciente,1,doc_c3440e03873d8788,doc_c3440e03873d8788_pp_ch_0060,19.35,"Eu gosto do cheiro do Ecus, o de Angiroba é uma delícia. Maracujá. Então assim, em termos de cheiro, o forminho, açaria, tanto no Ecus, Tanto não, todo dia. Então, já fica aí você que depois eu quero que as outras me falem. Tem uma pergunta pra agregar aí. Essa linha pra pele negra, cuidados com pele negra, que ingredientes, gente, a gente acha que deveria ter pra quem entrega isso que a gente tá buscando? Tem algum ingrediente que a gente falar, esses ingredientes seriam bem legais? Rosa mosquita, com certeza. Eu...",radiosa,nao_inferido,nao_inferido,nao_inferido,nao_inferido,pele negra / negra / pele / linha,pele / corpo / negra / pele negra,produto / pele / propaganda / produtos
persona_00,Cuidadora Consciente,2,doc_c81de68b7ac9189d,doc_c81de68b7ac9189d_pp_ch_0044,16.35,"Bom, essa é uma base que eu quero muito comprar porque é duração de 24 horas e isso já me pega. Todo produto que tem algum tipo de prazo chama muita atenção, porque instiga o consumidor a testar. E em relação à tecnologia de oxigênio da pele, isso é exatamente muito importante pelo que a Caroline e a Gabriela falaram. De deixar a pele respirar. Normalmente, nós temos bases muito grossas, né? Essas bases mates que a gente usa são muito grossas, né? Então, parece que a gente tá com reboco no rosto todo santo dia. E,...",rosacea,brasil,natura,nao_inferido,nao_inferido,pele / mulheres / propagandas / mulher,pele / corpo / negra / pele negra,produto / pele / propaganda / produtos
persona_00,Cuidadora Consciente,3,doc_74ca043fafaaea8d,doc_74ca043fafaaea8d_pp_ch_0007,15.35,"O formato, eu acho. Parece uma coisa bem chique. É, o refil. Amei o refil. O que mais, gente? Vocês acham que vai chamar a atenção? Muito. Essa mudança. As consumidoras vão se interessar? Vai ser uma coisa que vai chamar a atenção? Por quê? O que chama a atenção? Algo novo, né? Algo novo. Algo diferente. Moderno. Mas se pensar, o refeio consegue ficar assim? De pezinho, refeio? Sim, sim, consegue. E tal, pensa que aquele ali também tá em pezinho, né? O de plástico. Mas ele, o original, o que a gente não fica, o de...",anima,nao_inferido,nao_inferido,nao_inferido,nao_inferido,refil / embalagem / parece / formato,embalagem / parece / produto / atencao,embalagem / marca / linha / perfume
persona_00,Cuidadora Consciente,4,doc_3a9c3f93806290fb,doc_3a9c3f93806290fb_pp_ch_0024,14.35,"Mas aqui também fica para uma coisa mais pele sensível, dermo leva para isso? É, dermo, por ser dermo, sempre vem na cabeça produtos para pele, e por ser tech, acho que esse tech veio na minha cabeça algo assim que seria para alguma pele com alguma condição específica, sabe? Algo que seria esse produto para essa condição específica da parte do corpo. Ótimo, muito bom. Chay? Para mim é mais ou menos isso que eles falaram, porém eu não acho que seja específico, acho que é mais geral também, mas que tem a ver com a...",jack_pearson,brasil,nao_inferido,nao_inferido,nao_inferido,tecnologia / bio / bioeficiente / produto,pele / corpo / negra / pele negra,pele / corpo / banho / passo
persona_00,Cuidadora Consciente,5,doc_a0b281c2785ae1ed,doc_a0b281c2785ae1ed_pp_ch_0024,14.35,"A sensação de toque é pele macia, é o meu ideal, tô sempre em busca disso. Ainda mais agora que de ano pra cá eu comecei a fazer tratamento de fertilização in vitro, então isso também puxou pouco, eu achei que não fosse fazer diferença na minha pele, mas fez. Então, eu preciso de alguma coisa que realmente mantenha a minha pele do jeito que ela sempre foi. Macia e visualmente, você gosta que esteja como? O aspecto visual da pele, quando ela está hidratada, como que ela tem que estar? Eu não gosto dela ressecada,...",radiosa,nao_inferido,nao_inferido,nao_inferido,nao_inferido,corpo / pele / banho / uso,pele / corpo / negra / pele negra,produto / pele / propaganda / produtos
persona_00,Cuidadora Consciente,6,doc_3d71a73387cbd4a7,doc_3d71a73387cbd4a7_pp_ch_0033,13.35,"Pra pele negra e outro pras outros tipos de pele. Gente, tem alguma marca, pensando até em Natura, tá? Se fosse ter essa linha, vamos imaginar que é uma linha de cuidados para pele negra, beleza? Eu quero saber que produtos seriam bons, que produtos seria legal ter nessa linha. O que vocês acham que era bom ter para cuidar da pele negra? Hidratante, óleo e sabonete. Hidratante, óleo e sabonete? É, mas não sabonete em barra, sabonete líquido. Eu acho que sabonete e hidratante também. Porque depende muito do pH do...",radiosa,nao_inferido,nao_inferido,nao_inferido,nao_inferido,pele negra / negra / pele / linha,pele / corpo / negra / pele negra,embalagem / marca / linha / perfume
persona_00,Cuidadora Consciente,7,doc_ecbea0911b71e6fa,doc_ecbea0911b71e6fa_pp_ch_0031,12.35,"Entendi, então tem essa coisa de ter que deixar, também tem essa coisa deixar a pele hidratada realmente o dia inteiro. Isso, isso mesmo, a minha pelo menos é o que funciona, entendeu? Tanto o rosto como pele. Entendi. Quem mais? E as outras, meninas? Tem alguma coisa para agregar nesse creme ideal aí? Ou as meninas já disseram tudo o que vocês acham importante? Eu concordo com as meninas, eu acho que tem que ser creme que não seja tão grosso, creme na textura ideal, tanto que ele hidrata e o cheiro para mim conta...",radiosa,nao_inferido,nao_inferido,nao_inferido,nao_inferido,corpo / pele / banho / uso,pele / corpo / negra / pele negra,pele / corpo / banho / passo
persona_00,Cuidadora Consciente,8,doc_bc29e08f3450ea98,doc_bc29e08f3450ea98_pp_ch_0037,12.35,"É mais na questão da hidratação mesmo. E daí você quer que fique como a pele, em termos de visual e toque? É uma pele mais macia, mais lisosa, mais iluminada. Porque como a nossa pele é uma pele pigmentada, a questão do vício, a questão do brilho, ela é importante, porque senão ela passa uma ideia de estar opaca, de estar assim, acinzentada. Então, a questão do brilho, ela é importante. Entendi. Oi, meninas, se tudo que foi dito já estiver no escopo beleza, se não, podem complementar. E daí também tinha uma...",radiosa,nao_inferido,nao_inferido,nao_inferido,nao_inferido,pele negra / negra / pele / linha,pele / corpo / negra / pele negra,produto / pele / propaganda / produtos
persona_01,Comparadora Omnicanal,1,doc_012fe174842b390e,doc_012fe174842b390e_pp_ch_0012,47.35,"É difícil. Você acha que o boticário ajuda muito a vender? O que a Natura faz que ajuda a vender? O que a Cacau Show faz que ajuda muito a vender? A boticário, em venda, se eu me dedicasse, eu venderia muito mais boticário. Porque ainda é discriminado a Natura. Acha que o boticário é melhor. Ainda tem uma discriminação. O cliente acha que o Boticário costuma ser melhor. Mas não é porque assim em relação a hidratantes os hidratantes da natura eles hidratam muito bem enquanto o da Boticário só é perfume só o cheiro...",natura_3cs,nao_inferido,natura,consultoras,nao_inferido,perfume / boticario / perfumaria / natura,boticario / presente / natura / perfume,natura / boticario / loja / presente
persona_01,Comparadora Omnicanal,2,doc_0e16de972b72d565,doc_0e16de972b72d565_pp_ch_0018,42.35,"Então ela já tem na loja a maior parte e aí você compra em estoque, é isso? Isso. Aí quando ela não tem, ela só me passa a revista e eu compro. Tá, entendi. Quero falar então pouco, você falou também do Natura, né? Que é uma coisa que você compra e que dona Natura é sempre no virtual, é isso? Isso. E na loja dela, não compro também pelo marketplace. Uma vez eu também comprei pela Shopping, o perfume tinha outro cheiro, O que você quer dizer na loja da Natura? Você quer dizer isso? No caso da Natura, você tem...",compras_digitais,nao_inferido,nao_inferido,nao_inferido,nao_inferido,compro / compra / comprar / site,revista / compra / comprar / site,comprar / compra / revista / exemplo
