doc_id,chunk_id,projeto_real,projeto_previsto,trecho,possivel_causa
doc_813751e4679e395b,doc_813751e4679e395b_pp_ch_0035,biome,radiosa,"Como eu falei, pra mim foi diferente, porque eu tô na... A minha vibe atual é você comprou, usa até o fim. Eu tô tentando, assim, fazer a redução máxima possível desperdício, de lixo. Então, assim, você tem... Não gostei da fragrância. Sinto muito. Sinto muito. Segue adiante. Ou assim, a não ser que",Projetos com vocabulário temático similar
doc_b53730e47cc798ef,doc_b53730e47cc798ef_pp_ch_0034,biome,compras_digitais,"Normalmente sempre comprou lá no Amazon MercadoLibre, no geral lá no Amazon, mas realmente assim, lojinhas pequenas online eu nunca comprei não, porque não sei, pelo menos as que eu comprei nunca eram tão baratas. Gente, acho que por aliás, o Júlio falou que demorou para chegar a primeira vez, porqu",Termos genéricos ou sobreposição de contexto
doc_b6fd5d628bb2710e,doc_b6fd5d628bb2710e_pp_ch_0003,anima,radiosa,"Porque, meu, a gente vem entender tudo que vocês falam, né, e nessa história, tipo, vocês falam todo mundo ao mesmo tempo e tal, né, e às vezes eu acabo perdendo a informação. Tá bom? Mas é isso, é bem tranquilo, é bate- papo, a gente vai ver monte de coisas e quero saber o que vocês acham. Então, p",Projetos com vocabulário temático similar
doc_d42528cd9f4f9278,doc_d42528cd9f4f9278_pp_ch_0004,gaia_ii,rosacea,"Olha, eu... A televisão... Fica ligada 24 horas quando eu tô em casa. Então, assim, eu não sou muito fã, mas como eu tenho filho pequeno e eu vejo muito comercial da Natura, da nitrogêna, né? E o que chama atenção é sempre aquela pele impecável, que tá muito sem manchas, muito limpa. E que traz aque",Projetos com vocabulário temático similar
doc_b71f944ee9bec4b0,doc_b71f944ee9bec4b0_pp_ch_0005,radiosa,natura_3cs,"Fala pra gente. Sim. Então, meu público primeiro é a família, aí tem a vizinhança, a escola das crianças, e eu tenho, vendo tanto... Eita, tá dando eco aqui. Aí eu tenho... Uma mãe-bebê, né? Uma mãe-bebê eu vendo bastante, mas o que mais eu vendo muito são sabonetes. Sabonetes. De qual linha, hein? ",Termos genéricos ou sobreposição de contexto
doc_2fad00e3ce11f4af,doc_2fad00e3ce11f4af_pp_ch_0015,natura_3cs,mercato_brasil,"O que elas pedem? Neodora de shampoo? É, da Eudora que eu tô vendendo mais é, assim, eu vendendo não, né? Aquelas peles, pra mim, é a base. Tem uma base, eu não usei ainda, mas diz que é maravilhosa, fantástica. E aí quando o pessoal te pede da Eudora, você tenta falar assim, não, mas tem essa aqui ",Termos genéricos ou sobreposição de contexto
doc_6e02133bb486de22,doc_6e02133bb486de22_pp_ch_0006,compras_digitais,natura_3cs,"Além de Natura, mais alguma marca que você usa? Eu assino uma box. E aí eles mandam produtos às vezes. É uma box magenta. Então vem às vezes, porque assim, o que eu quis com essa box? Tu pega e tu cria perfil ali. De como que é seu cabelo, como que é sua pele, o que você gosta, etc. Então, tu cria a",Termos genéricos ou sobreposição de contexto
doc_ca13ed7a8ce3eb34,doc_ca13ed7a8ce3eb34_pp_ch_0048,3cs_perfumes,natura_3cs,"A Avon, para mim... Ela seria... Como se fosse, meu Deus do céu, alguém que começou toda a minha trajetória, sabe? Teria sentimento ali também, que nem natura, mas já brando, sabe como. É que eu tô dizendo? Porque já passou pouco, tá vindo agora de novo, mas eu não tenho aquele vínculo, aquele elo q",Projetos com vocabulário temático similar
doc_9ed820073ce06c76,doc_9ed820073ce06c76_pp_ch_0003,biome,radiosa,"Quem quer começar? Fica super à vontade. Posso começar? Vai lá, Fê. Meu nome é Fernanda. eu sou [NOME] e trabalho com fotografia, na forma autônoma, também trabalhando com fotografia odontológica. Eu [ENDERECO]. Obrigada de você estar aqui com a gente. E aí, Ivana? Oi, tudo bom? Boa tarde a todos. I",Projetos com vocabulário temático similar
doc_95f0f8f3bf008a0b,doc_95f0f8f3bf008a0b_pp_ch_0004,natura_3cs,mercato_brasil,"Olha, até que tem. Até aqui sei. Que bom. Assim, como eu disse, eu tô natura há bom tempo. E essa função, ela me... Eu tenho orgulho de ser consultora. Eu tenho orgulho de vender Natura. Inclusive, quando eu fiz [IDADE] anos, eu fui homenageada lá na Realiã, que a gente faz praticamente. Aí minha...",Termos genéricos ou sobreposição de contexto
doc_ab0b946958f4f005,doc_ab0b946958f4f005_pp_ch_0015,3cs_perfumes,natura_3cs,"Ela comentou do sapatinho também, do Good Girl, que ela via várias blogueiras que ela seguia, aparecia o sapatinho em algum lugar, ou a pessoa passava o sapatinho ou ela estava no banheiro sei lá fazendo ali tutorial de maquiagem aparecia o sapatinho. Ela começou a ver o sapatinho em conteúdos de re",Projetos com vocabulário temático similar
doc_478cbac543cfa72a,doc_478cbac543cfa72a_pp_ch_0010,mercato_brasil,natura_3cs,"No meu caso, a Natura em si, eu conheci com uma vizinha, a mesma coisa que a Juliana. Eu conheci com uma vizinha, eu achava legal a forma que ela Os depoimentos das mulheres. Tipo, vários depoimentos. Hoje não está tendo mais, mas se você procurar no site, você consegue achar. Então, assim, você viu",Termos genéricos ou sobreposição de contexto
doc_6446f54127e74c2d,doc_6446f54127e74c2d_pp_ch_0043,gaia_ii,compras_digitais,"Porque eu só entendi a pergunta, é assim, a gente vê o produto como que ele está comunicando a gente, independente do que está escrito, né? Assim, por exemplo, que nem a forma como está mostrando o produto e colocando três itens que ele tem com as setinhas. É uma coisa assim, quando eu olhar, eu já ",Termos genéricos ou sobreposição de contexto
doc_5c06d290f301eadb,doc_5c06d290f301eadb_pp_ch_0005,natura_3cs,3cs_perfumes,"Olha, são duas excelentes marcas eu acho que ainda existe sabu com a perfumaria da Natura, tá? Sim, diminuindo, né? Mas ainda em relação ao Boticário, perfumes sempre eu vendo mais do Boticário que da Natura. Mesmo a Natura tendo perfumes maravilhosos, né? Como a Luna, o Essencial. Então, eu sempre ",Projetos com vocabulário temático similar
doc_d26ac17df9e509e7,doc_d26ac17df9e509e7_pp_ch_0023,gaia_ii,rosacea,"Eu acho a Natura também muito elegante, né? Eu acho as propagandas da Natura muito limpas, né? Uma coisa muito... Modernas também. É, moderna. Ela passa pra você... Apesar de homem ter toda aquela criatividade, mas ainda tem aqueles engenheiros, sei lá como é que fala, que montam os rótulos com toda",Projetos com vocabulário temático similar
doc_9852515aa99fe494,doc_9852515aa99fe494_pp_ch_0001,compras_digitais,biome,"Olá, tudo bem? Que bom ver você por aqui. Nós somos Akira, uma empresa dedicada a entender comportamentos, necessidades e desejos das pessoas. Assim, ajudamos diferentes marcas a melhorarem os produtos, serviços e experiências que oferecem aos seus consumidores. Por isso, você é a figura principal n",Termos genéricos ou sobreposição de contexto
doc_981214beda5a6637,doc_981214beda5a6637_pp_ch_0035,natura_3cs,3cs_perfumes,"E a vendedora não me deu nada. Ela tentou me vender uma base vencida, que, aliás, eu achei isso péssimo, N. Vencida? Vencida. Era uma base, CC Cream, tava vencida. Ela tava vendendo por R$29,00 e tava querendo falar, é só R$29,00. Venceu esse mês, dá pra você usar ainda. Você tá de sacanagem comigo.",Projetos com vocabulário temático similar
doc_9ed820073ce06c76,doc_9ed820073ce06c76_pp_ch_0061,biome,radiosa,"Concordo com o que ele falou aí. Eu acho que a natura é isso aí mesmo. É aquilo? É uma unidade só que está sendo dito aí? Estou supondo. Quanto vocês acham que custaria? Estou perguntando. Não, se for o kit, é mais caro. Agora, uma unidade... Não, o shampoo. Estou pegando exemplo. Exemplo só. Não, e",Projetos com vocabulário temático similar
doc_de596209415382fe,doc_de596209415382fe_pp_ch_0007,natura_3cs,3cs_perfumes,"Da Eudora, entendi. Da Eudora. E do Boticário é a perfumaria e aquela linha Spa. Tá. Perfumaria e linha Spa. E aquela linha Mecha, sabe? Gosto daquela fragrância Mecha. Sei. E aí, Avon, você vende mais o quê? Costuma vender mais o quê? Avon, eu acho que é aquela linha Renew. Cuidados diários, que é ",Projetos com vocabulário temático similar
doc_35dea0d9c934b094,doc_35dea0d9c934b094_pp_ch_0001,bem_maes,compras_digitais,"Eu vou ficar por aqui só ouvindo a discussão de vocês, tá bom? Para ir anotando qualquer coisa importante. Vou deixar agora vocês conversando com a. Sandra aí e vamos de papo para vocês. Obrigada, Pri. Eu vou pedir para todo mundo... A Ana Maria ainda está... Abre a câmera. Isso. A Márcia está conec",Termos genéricos ou sobreposição de contexto
