solution,k,persona_id,persona_nome_auto,rank,doc_id,chunk_id,evidence_score,excerpt,projeto,pais,marca_foco,publico,tipo_sessao
macro_k3,3,macro_k3_p00,Cuidadora Consciente,1,doc_b71f944ee9bec4b0,doc_b71f944ee9bec4b0_pp_ch_0016,23.35,"Ela sabe. Meninas, me fala uma coisa, o que mais que tem de benefício em usar todo dia, nos produtos todo dia? Mais alguma coisa, Melissa, tem mais algum benefício, mais algum benefício? O todo dia ele é probiótico, ele se adapta bem à pele, a todo tipo de pele, é assim, mas eu procuro sempre Falar para o cliente. Eu dou dicas ao cliente. Quando o macadama é mesmo, o macadama é o nospecan. Se a pele for pouco mais ressecada, então é ele. Então, se você não tem uma pele muito ressecada, é o algodão, flor de lixa, mas mesmo a fragrância parece que assim, as fragrâncias mais suaves parece que eles para peles que...",radiosa,nao_inferido,nao_inferido,nao_inferido,nao_inferido
macro_k3,3,macro_k3_p00,Cuidadora Consciente,2,doc_66b40b2eb6436092,doc_66b40b2eb6436092_pp_ch_0006,23.35,"Por isso, nos especializamos em perfumaria e cuidados masculinos para possibilitar que cada homem se expresse e se cuide da sua maneira. Unindo ciência com natureza, desenvolvemos vasto portfólio de produtos. Na perfumaria temos fragrâncias surpreendentes com ampla diversidade olfativa para as mais diferentes ocasiões masculinidades. Em cuidados pessoais, uma linha completa para pele, barba e cabelo, com alta performance e resultados cientificamente comprovados. Então esse texto aqui a gente nem vê normalmente na vida real, é só para vocês saberem o que ela está propondo. Então é muito essa coisa de cuidado com...",jack_pearson,brasil,nao_inferido,nao_inferido,nao_inferido
macro_k3,3,macro_k3_p00,Cuidadora Consciente,3,doc_bc29e08f3450ea98,doc_bc29e08f3450ea98_pp_ch_0027,21.35,"Então a sensação é de bem-estar? Sim. Sim, de bem-estar e disso, de ver a pele uniforme mesmo. Cheila, você voltou, que bom! Estava falando do olhar e daí a gente já foi para outra história, menina, já vou pular aqui. A gente tá falando das partes do corpo, pele do corpo, assim, quais são, como é que é a relação com a pele do corpo, quais são as partes que mais gostam e por que gostam, quais são as partes que menos gostam e por que não gostam, como que é isso? Que eu mais gosto o meu rosto. As pessoas costumam falar, ai, você tem uma pele boa, que rosto, que bonita a sua pele, do seu rosto. Então, por conta...",radiosa,nao_inferido,nao_inferido,nao_inferido,nao_inferido
macro_k3,3,macro_k3_p00,Cuidadora Consciente,4,doc_c3440e03873d8788,doc_c3440e03873d8788_pp_ch_0060,19.35,"Eu gosto do cheiro do Ecus, o de Angiroba é uma delícia. Maracujá. Então assim, em termos de cheiro, o forminho, açaria, tanto no Ecus, Tanto não, todo dia. Então, já fica aí você que depois eu quero que as outras me falem. Tem uma pergunta pra agregar aí. Essa linha pra pele negra, cuidados com pele negra, que ingredientes, gente, a gente acha que deveria ter pra quem entrega isso que a gente tá buscando? Tem algum ingrediente que a gente falar, esses ingredientes seriam bem legais? Rosa mosquita, com certeza. Eu acho que... Eu acho que a manteiga de cacau. Hidrata também muito a nossa boca, né? Eu acho que...",radiosa,nao_inferido,nao_inferido,nao_inferido,nao_inferido
macro_k3,3,macro_k3_p00,Cuidadora Consciente,5,doc_a0b281c2785ae1ed,doc_a0b281c2785ae1ed_pp_ch_0018,18.35,"Ótimo. E a Cláudia? Então, de beleza, eu acho a Cristiana, que a colega até citou, eu acho ela espetáculo. Cabelo, corpo, pé e também a forma como ela fala também é muito elegante também. Eu acho que é espetáculo, é uma negra maravilhosa. Ó, Tódia, fica com o microfone aberto então que eu vou começar com você. Me fala uma coisa, que é pra todas, né? Eu quero saber se vocês procuram, buscam informação sobre cuidado com a pele. Se sim, onde? Se não, também quero entender por quê. Como que é isso? Eu procuro sim, eu procuro principalmente internet, vídeos de YouTube, desenha, skin care, eu sempre procuro,...",radiosa,nao_inferido,nao_inferido,nao_inferido,nao_inferido
macro_k3,3,macro_k3_p00,Cuidadora Consciente,6,doc_ecbea0911b71e6fa,doc_ecbea0911b71e6fa_pp_ch_0015,17.35,"Beleza! Quem mais você vai me falar? Eu quero que as outras me contem. Eu acho que essas coisas são as três coisas que eu mais procuro no meu corpo. Tá bom, Ju, obrigada. Agora a outra Ju quer falar também. Fala, Ju, quais são as suas principais preocupações e necessidades envolvendo o corpo, a pele do corpo? Sim, eu gosto de usar por conta da hidratação, né? E do cheiro. Eu acho que o perfume conta muito, né? O hidratante que eu uso mesmo, ele é muito cheiroso. Pode falar nome e marca, tá, gente? Pra eu saber também. É o da Paixão. Na paixão, pelo cheiro. E em termos de hidratação, o que é importante em termos...",radiosa,nao_inferido,nao_inferido,nao_inferido,nao_inferido
macro_k3,3,macro_k3_p00,Cuidadora Consciente,7,doc_d61537ccd540a8ec,doc_d61537ccd540a8ec_pp_ch_0024,16.35,"Palavras, gente, que palavras que a gente pode usar aí para descrever essa propaganda? Pode ser clichê e colocar natureza? Pode, pode ser o que você quiser. Oi, Jenny. Natureza. Janaína? Me traz refrescância. Refrescância. Mariana? Eu também vou natureza. Natureza. Ana Paula? Eu ia colocar natureza, mas vou pensar alguma outra, pode passar para outra pessoa. Hidratação, rejuvenescimento. Lembrou de alguma, Ana? Então, antes se nós, já que falou na própria propaganda. Eu vou passar mais uma e a gente vai conversar sobre ela, tá bom? Todo mundo bem? E aí, quem quer comentar esse? Posso começar? Fala, Mari. É uma...",rosacea,brasil,nao_inferido,nao_inferido,nao_inferido
macro_k3,3,macro_k3_p00,Cuidadora Consciente,8,doc_c81de68b7ac9189d,doc_c81de68b7ac9189d_pp_ch_0044,16.35,"Bom, essa é uma base que eu quero muito comprar porque é duração de 24 horas e isso já me pega. Todo produto que tem algum tipo de prazo chama muita atenção, porque instiga o consumidor a testar. E em relação à tecnologia de oxigênio da pele, isso é exatamente muito importante pelo que a Caroline e a Gabriela falaram. De deixar a pele respirar. Normalmente, nós temos bases muito grossas, né? Essas bases mates que a gente usa são muito grossas, né? Então, parece que a gente tá com reboco no rosto todo santo dia. E, assim, vendo a imagem, eu tenho a impressão de ser uma base com uma textura bem fina e que se...",rosacea,brasil,natura,nao_inferido,nao_inferido
macro_k3,3,macro_k3_p00,Cuidadora Consciente,9,doc_b71f944ee9bec4b0,doc_b71f944ee9bec4b0_pp_ch_0012,16.35,"Normalmente são os mesmos clientes que compram o todo dia. Qual a diferença que você vê? O ECOS é só óleo ou tem hidratante também? Ecos tem óleo também, trifásico, tem duas fases. É só óleo ou tem hidratante também? Tem hidratante também. Mas vende mais o óleo ou o hidratante? Ou os dois vendem bastante? A Ecos vende mais o hidratante, eu pelo menos a mais hidratante. Não tanto. Tá, vende menos que todo dia, eu entendi, né? Agora, qual a diferença, gente, que vocês acham? Agora eu quero todas falando. Qual a diferença que tem da linha Todo Dia pra linha Ecos? Fala, Melissa. Deixa a Melissa, depois você fala, só...",radiosa,nao_inferido,nao_inferido,nao_inferido,nao_inferido
macro_k3,3,macro_k3_p00,Cuidadora Consciente,10,doc_bc29e08f3450ea98,doc_bc29e08f3450ea98_pp_ch_0058,15.35,"Então, assim, tem que mostrar a realidade, porque daí sim a pessoa sente representada. Como que a gente quer que essa realidade seja mostrada? Abra dos microfones, as outras também querem saber. Corpo real, corpo real, uma mulher acima do peso, mas que não tem vergonha do corpo, que ela mostre lá a sua célula lítica, ela mostra lá que ela tem uma marca no bumbum, que ela tem uma estria, que ela tem... O cutucelo tá pouco mais escurecido, que a pele tá ressecada e que aí ela passou o hidratante, o antes e o depois do hidratante. Essa é a realidade. Não mostrar algo... A gente vê muito isso em comercial de produto...",radiosa,nao_inferido,nao_inferido,nao_inferido,nao_inferido
