cluster_label,rank,similarity_to_cluster_centroid,chunk_id,doc_id,excerpt,projeto,publico,marca_foco,tipo_sessao
km_000,1,0.6683884859085083,doc_b53730e47cc798ef_pp_ch_0032,doc_b53730e47cc798ef,"Você falou o nome da sua marca, mas eu não gravei. Qual que era? Não entendi. Qual é a marca? B.O.B. B.O.B. Foi eu, Também uso da B.O.B. Também é em barra e tal? É, em barra. E ele é pequenininho assim, acho bem legal, porque dá pra levar pra todo lugar facilmente. A compra desses produtos? Alguns de vocês falaram que é a internet. Como é que é? Onde vocês encontram? Onde vocês compram? Eu compro muito no Mercado Livre. Eu gosto de comprar lá, eu tenho frete grátis. Às vezes tem que pagar, mas eu tenho tipo nível 6 lá do Mercado Livre, eu gosto de comprar ali. Eu compro muito na loja web, né? Uma loja online, né? Pra comprar bom tempo. E a rapidez também. Oi, Desir, você tá bom? Compro na loja online, né? É, o Eriton compra em loja online, tá? Você também compra por internet. E você, Desir, você tava falando e vou ouvir. Eu já comprei em loja física, mas não é fácil de encontrar. Então..",biome,nao_inferido,nao_inferido,nao_inferido
km_000,2,0.6570265293121338,doc_eb6a4496f5f5d136_pp_ch_0007,doc_eb6a4496f5f5d136,"Compro, sim. Acho que talvez na Drogazil, porque eu já peguei... Promoções na Drogazil, então é onde eu sempre compro. Na Drogazil. Compro também, lugar que eu gosto de comprar shampoo é nas americanas. Porque as americanas fazem também promoção muito boa do shampoo. E eu já percebi a diferença de preço quando eu compro deles no site e das outras lojas físicas. É bem grande a diferença para pagar. Mais algum? Eu gosto muito do Mercado Livre também, é o que eu fuço muito no Mercado Livre. Qual é a vantagem, por exemplo, que você vê na compra do site da Drogazil? São assim os descontos. A Drogazil, por exemplo, eles não parcelam e muitas vezes não. Mas eu já peguei assim desconto produtos mais baixo aliás a maioria das vezes no site deles do que na própria loja física. Então tem diferença assim de tudo. Eu acho que da loja toda da drogazinho em tudo todos os produtos no site acho que tem m",compras_digitais,nao_inferido,nao_inferido,nao_inferido
km_000,3,0.6303807497024536,doc_5e45678d66a9df7e_pp_ch_0007,doc_5e45678d66a9df7e,"De shampoo? Não, de xampu, só o Dove, né? Por causa do sal. Eu nem sei se tem outro que não tenha, mas como a minha cavaleireira eu faço há muito tempo progressiva, ela sempre diz esse pra depois não chegar lá e ela dizer que eu não tô usando o certo. É, não, mas o que eu queria entender pouco é o que você falou, que você compra na Panvel, né? Você até compara às vezes com o mercado, é mais barato. Na Panvel, às vezes, é tanto no aplicativo quanto no site, é isso? Não, tanto no site quanto pessoalmente, é que a Panvel também é uma farmácia, na verdade a maioria das pessoas vai na farmácia, é farmácia mesmo, eu compro na loja física, mas eu normalmente compro online. E o online é sempre pelo aplicativo ou não? Não, tem no site. Você compra por ambos, pelo site e pelo aplicativo? Normalmente compro pelo site, porque meu celular tá cheio. Eu vou te dizer que eu nunca comprei, eu acho que pe",compras_digitais,nao_inferido,nao_inferido,nao_inferido
km_000,4,0.6176849603652954,doc_76c629289d2e414c_pp_ch_0004,doc_76c629289d2e414c,"Você compra em outros lugares pela internet? Compro pelas sites como a Magazine Luiza, a Amazon também compro bastante, Americanas também é site que tem bastante coisa, tem Shopee também que eu gosto. A gente fala desses outros e-commerce, marketplace, Me fala pouco da Amazon, quais são as vantagens, o que você gosta na Amazon? Na Amazon? Eu gosto porque ele tem aquela parte do frete grátis. Que eu acho uma vantagem. Mercado Livre também é que eu gosto porque tem a parte que eu posso retirar em lojinhas perto, quando são coisas que, por exemplo, o frete ou é caro ou tu retira numa lojinha próxima. Então isso eu acho uma vantagem também. Mas falando da Amazon em si, tem muitas opções, porque aí tu escolhe, por exemplo, são várias pessoas que vão lá e vendem os produtos e tu pode escolher, digamos, a loja que tu quer comprar, de quem tu quer comprar, porque tu consegue escolher preço també",compras_digitais,nao_inferido,nao_inferido,nao_inferido
km_000,5,0.6135015487670898,doc_732280b483c61985_pp_ch_0004,doc_732280b483c61985,"Ela manda para mim uma das duas. Tá. Você sabe por que ela manda as duas? Porque às vezes ela diz assim, ó, vou mandar as duas, caso qualquer coisa tu pode mandar pra alguma pessoa. Tá. O PDF, por exemplo, é pra mandar pra alguma pessoa, é isso? Ou o link? Se você quiser mandar pra alguma pessoa, ela manda tanto a interativa, tanto manda o PDF. Tá. E além do mercado farmácia e da consultora, você compra em mais algum lugar ou com mais alguém? Não, não, não. Maquiagem eu tenho minhas certas preferências, que eu só uso a base e o corretivo, que eu uso da UNA, da Natura, mas os demais eu compro em loja de maquiagem mesmo, que tem uma loja de maquiagem de R$10 e R$10 eu saio comprando. Mas assim, diferente a isso, eu compro só nessas. Quais as vantagens que você percebe na compra da loja física lá, o mercado, a farmácia? A única vantagem que eu acho é porque você está comprando e você está l",compras_digitais,nao_inferido,nao_inferido,nao_inferido
km_001,1,0.6423857808113098,doc_52108ac94ef635f9_pp_ch_0001,doc_52108ac94ef635f9,"Não, vai ser só você nesse momento e o pessoal da minha equipe mesmo. É só bate-papo para vocês se conhecerem, você vai ver. Deixa eu ver se eles estão aqui. Não aparecem, deixa eu tentar mandar para eles o convite direto. Tá conseguindo. É cafezinho? Ai, gente! Eu bem queria, viu? Olha só, acho que as meninas estão aqui depois do almoço, né? Pedem cafezinho. É bom, né? Deixa eu ver se agora elas vão conseguir entrar. Sim! Oi, Priscila! Olá, gente! Olá, Priscila! Erika, me desculpe por ter seu nome. Com K, me perdoa no convite. Tá, tudo bem, não tem problema nenhum, imagina. Tudo bem, Priscila? Prazer. Tudo, prazer. Priscila, e seu nome? Prazer, Erika. Meninas, eu já contei de toda a dinâmica da pesquisa, já contei também sobre a gravação, então agora eu deixo vocês com a Pri, qualquer coisa eu tô por aqui, tá bom? Obrigada. Obrigada a vocês. Eu tô com pouquinho de problema no meu microf",natura_3cs,consultoras,natura,nao_inferido
km_001,2,0.6399860978126526,doc_1055808810073bc2_pp_ch_0001,doc_1055808810073bc2,"Você prefere que te chame de Cris ou de Cristiane? Não, pode chamar de Cris, sem problema nenhum. Oi Cris, bom, eu sou a [NOME], então tô aqui com a Erika, a gente é do time da Akira e a gente tá aqui, bom, eu moro em Vinhedo, sou uma moradora do interior. Você mora onde? Eu moro aqui na capital, na zona sul, Capão Redondo. Legal. E a gente tá aqui pra conhecer você. Então, a ideia é ter bate-papo, conhecer pouquinho. Não tem resposta certa, resposta errada. É pra conhecer pouquinho mais sobre você, quem você é, sua vida e, principalmente, sobre a sua relação com presentes. Erika, quer se apresentar? Pode falar, pode falar. Você tá no modo, Erika? Oi, tá me ouvindo? Tudo bem? Prazer. Cris, eu sou a [NOME], também faço parte aqui da Kira, junto com a Ana e com a Thaís. E, como a Ana falou, a gente vai fazer algumas perguntas. Tem aqui .. Nós temos roteiro, algumas perguntas, e fica super ",natura_3cs,consumidoras,natura,nao_inferido
km_001,3,0.6287650465965271,doc_3a9c3f93806290fb_pp_ch_0003,doc_3a9c3f93806290fb,"Eu sempre anoto anônimo. Tudo que vocês falam nunca vai estar associado com o nome de vocês. Também é algo pra deixar vocês à vontade aí, é código de ética e pesquisa. E é isso, então é bate-papo. Fiquem à vontade, se tiverem alguma dúvida, não se sintam constrangidos, é só perguntar, vocês vão ver que tem umas coisas meio complexazinhas aí no meio do processo. Fiquem à vontade, o importante é vocês estarem bem, entendendo e a vontade pra falar, tá bom? Pra começar, vou puxar cada de vocês pra se apresentar, queria saber a idade, o que faz da vida, de onde tá falando, a gente tem pessoas de várias cidades, o que gosta de fazer da vida, assim, de lazer, essas coisas, tá bom? Então, pode começar, Davi, por favor? Claro, posso sim. Prazer. Meu nome é David, né? David, desculpa. Não, tudo bem. Todo mundo confunde mesmo. tenho [IDADE] anos, moro aqui em São Paulo, capital mesmo, Zona Sul. Pró",jack_pearson,nao_inferido,nao_inferido,nao_inferido
km_001,4,0.6249589920043945,doc_f32e185da3913dd6_pp_ch_0001,doc_f32e185da3913dd6,"Bem, posso começar. Vou me apresentar, tá, Magno, pra você. Meu nome é Helen, então, trabalho aí na Quira, a gente tá nesse projeto. Putz, eu adoro conversar com o consumidor. tenho [IDADE] anos, sou mãe de três filhos. E sou uma pessoa que, quando eu me apresento assim, se alguém precisa de ajuda para dar presente, eu sou a [NOME] a me oferecer, porque eu adoro presentear as pessoas. E moro aqui em São Paulo, enfim, e trabalho aqui na Kira, mas é isso, me apresentando. Oi, Magno, meu nome é Juliana, também estou aí junto com as meninas, trabalhando na Kira, tenho [IDADE] anos e [ENDERECO]. Oi, Magno. Eu não sou a [NOME], sou a [NOME]. Tá, tá. Também tô na Kira, tenho [IDADE] anos, tenho dois filhos e eu [ENDERECO], então tô pouco mais distante das meninas aí de vocês. Certo. Eu sou o [NOME]. Você mora aqui em São Paulo? eu sou [NOME]. Eu tenho [IDADE] anos. Estou solteiro e moro com a m",natura_3cs,consumidoras,natura,nao_inferido
km_001,5,0.613269567489624,doc_cfb49b86362bd118_pp_ch_0001,doc_cfb49b86362bd118,"Rafaela, vamos só esperar uns minutinhos que a Ana e a Constância vão entrar, tá? Tudo bem. Tô guardando. Obrigada. Tá bom. Ela teve problema, mas ela já tá entrando, tá? Você tem alguma limitação de tempo? Eu acho que ela deve entrar em menos de 5 minutos. Não, não, tô tranquila. Quanto tempo que dura, mais ou menos? Não demora, deve ser 30 minutos. Uma média de 30 minutos, mais ou menos. Tudo bem, então. Tá bom? Tá bom. Meu Deus, que medo. Gente, Cheguei, desculpa. Chegou, deu certo. Tudo bem. Deu, tive que atualizar, que uma loucura. Tudo bem. Foi uma loucura, eu tive que atualizar também. Tudo bem, Marti. Prazer, Rafaela. Tudo bem. Prazer, Rafaela. A gente já pode começar, né, Ana? Bora começar! Rafa, a gente veio aqui... A gente é do time KIDRA e a gente veio aqui muito pra conversar, pra te conhecer, bater papo com você, assim, não tem certo, não tem errado, então a gente pode fica",natura_3cs,consumidoras,natura,nao_inferido
