doc_id,chunk_id,chunk_index,idioma,texto_analise,idioma_detectado_light
doc_b53730e47cc798ef,doc_b53730e47cc798ef_ch_0022,22,pt,"fosse superficial, né? 
 
 
 
 
 
Speaker 4 - 26:07
 
 Mas... Todo mundo aqui tem a sua voz, né? Fala da sua voz. 
 
 
 
 
Speaker 1 - 26:13
 
 Mas, assim, essa questão é essencial, assim, tipo, eu acho que a gente vai ser uma das primeiras gerações que 
vai pegar mundo muito pior do que os nossos pais pegaram. Então, assim, não tem como ficar calado, 
conformado vendo, tipo, né, o planeta indo pra... É entender que, além das atitudes individuais, a crítica, quando 
fala da questão ambiental, tem que vir para o sistema. Ambiental, sem ter esse aspecto de criticar também a 
exploração, criticar grandes empresas, todo o sistema que favorece isso, acaba que, tipo, é como se fosse 
paliativo para que a população faça coisa e tal, sendo que a grande maioria do lixo poluente é produzido pelas 
grandes empresas, é produzido por quem tem muito mais dinheiro que, sei lá, uma viagem de jatinho gera 
poluição pra, sei lá, o que uma pessoa que tem carro gasta em ano, sabe? Negócio assim. 
 
 
Meeting Title: Q1_Biome_1104_9h00.m4a Meeting created at: 18th Mar, 2026 - 9:56 PM
16 / 88
 
 
 
Speaker 1 - 27:27
 
 Então, o que eu acho é que não dá pra fazer essa crítica ambiental, que é super",mixed
doc_b53730e47cc798ef,doc_b53730e47cc798ef_ch_0030,30,pt,"terrada 
que não tem que tá enterrada, tem coisa que é queimada que não tem que tá queimada, tem coisa que é 
compostada que não é pra tá compostada. 
 
 
 
 
Speaker 9 - 35:35
 
 Então, eu queria deixar uma dica, né, pra vocês, se fosse possível, e já que todo mundo, assim, vamos dizer assim, 
tá no mesmo plano, no mesmo nível de entendimento, de acesso a esse tipo de informação, ultimamente eu tô 
buscando estudar bastante essa questão de plástico e pedir para vocês realmente tentar evitar, não 
necessariamente o plástico, eu sei que a gente está vivendo, a gente costuma dizer que a gente vive no mundo 
tecnológico, eu falo que a gente vive no mundo do plástico, tudo hoje é plástico, absolutamente tudo é alguma 
liga, que a gente tem por aí. Então, já que a gente vai consumir o plástico, vamos pelo menos entender que 
plástico a gente tá consumindo. 
 
 
Meeting Title: Q1_Biome_1104_9h00.m4a Meeting created at: 18th Mar, 2026 - 9:56 PM
19 / 88
 
Speaker 9 - 36:17
 
 Pet, ok, ou aquele PP , ok, vai, mas se tem plástico que pra gente é muito caótico, é o plástico que tem liga, que é 
ele juntado com a liga metálica. Normalmente é aquele que vem em salgadinho, tem papel de bala,",mixed
doc_b53730e47cc798ef,doc_b53730e47cc798ef_ch_0051,51,pt,"tem produto líquido que 
não fica bom. Curiosamente, essa primeira tentativa me trouxe resultado muito interessante. 
 
 
 
 
 
Speaker 4 - 59:37
 
 Como é que vocês conheceram o produto que vocês usam? Como é que foi? Uma indicação? Foi alguma 
propaganda? 
 
 
 
 
Speaker 9 - 59:47
 
 Não, foi fuçando mesmo. 
 
 
Meeting Title: Q1_Biome_1104_9h00.m4a Meeting created at: 18th Mar, 2026 - 9:56 PM
30 / 88
 
 
Speaker 2 - 59:50
 
 E o óculos? 
 
 
 
 
Speaker 9 - 59:52
 
 Estava meio mexendo à toa, a internet mesmo, pelo Instagram, entra no Instagram, aqui entra em outro, aí 
aparece, né? Estava procurando produtos de cabelo, de modo geral, né? E acabou como anúncio. Aqueles lá que a 
gente escuta, a gente fala. E comecei a ver uma resenha e outra. Falei, vamos dar abraço e torcer, né? Deixa eu ver 
como é que funciona. Não tive indicações de ninguém, não. 
 
 
 
 
 
Speaker 4 - 01:00:20
 
 Então, e qual marca? 
 
 
 
 
Speaker 9 - 01:00:22
 
 Ares de Mato. Como é que chama? Ares de Mato. 
 
 
 
 
 
Speaker 4 - 01:00:27
 
 E esse foi o produto que você comprou primeiro, Ares de Mato? É barra no condicionador? 
 
 
 
 
Speaker 9 - 01:00:32
 
 Isso, isso. 
 
 
 
 
 
Speaker 4 -",mixed
doc_b53730e47cc798ef,doc_b53730e47cc798ef_ch_0061,61,pt,"o frete tá mais barato, ou até mesmo o produto, eu compro em outras lojas. 
 
 
 
 
 
Speaker 8 - 01:10:50
 
 Normalmente sempre comprou lá no Amazon MercadoLibre, no geral lá no Amazon, mas realmente assim, 
lojinhas pequenas online eu nunca comprei não, porque não sei, pelo menos as que eu comprei nunca eram tão 
baratas. 
 
 
 
 
Speaker 4 - 01:11:03
 
Meeting Title: Q1_Biome_1104_9h00.m4a Meeting created at: 18th Mar, 2026 - 9:56 PM
39 / 88
 
 Gente, acho que por aliás, o Júlio falou que demorou para chegar a primeira vez, porque eu falei aí. Alguém falou 
aí que... Fui eu, 
 
 
 
 
 
Speaker 7 - 01:11:16
 
 Porque acho que era período de feriado, acho que feriado eu não sei, o Correios não trabalha direito, né? E então 
demorou para chegar, falava que ia chegar e não chegava, e eu já estava ansiosa, queria experimentar logo. Mas 
aí depois, agora geralmente dá certo. Porque a gente se programa. Eu já entendi que quando chega certo 
pedacinho assim, acho que aqui já vai embora mais rápido. Então eu já aproveito para comprar, para dar tempo de 
chegar antes que acabe o outro. 
 
 
 
 
 
Speaker 4 - 01:11:50
 
 Qual é o tempo, mais ou menos, que leva? Eu sei que cada está",mixed
doc_b53730e47cc798ef,doc_b53730e47cc798ef_ch_0072,72,pt,"pra 
mim, ele dura mais pelo fato de que eu passo menos quantidade, como eu aprendi olhando ali, que ele tem menos 
necessidade de você estar Então, assim como eu já fazia uso realmente no líquido assim, também era assim, 
sabe? Sempre que eu comprava, durava mais o condicionador do que o chão. Então, acho que vale a pena, mas eu 
tive que procurar saber como era a forma adequada de usar, porque eu não soube ali, sabe, ter esse tato nas 
primeiras lavagens. 
 
 
 
 
 
Speaker 4 - 01:23:16
 
 Teve que ir atrás, né? Teve que ver as desenhas pra poder saber pouco mais. 
 
 
 
 
 
Speaker 2 - 01:23:21
 
 É, eu me senti assim, pouco burra, sabe? 
Meeting Title: Q1_Biome_1104_9h00.m4a Meeting created at: 18th Mar, 2026 - 9:56 PM
48 / 88
 
 
 
 
 
Speaker 4 - 01:23:25
 
 Então, vocês mencionaram várias coisas. Vocês mencionaram a coisa de ser prático, de ser eficiente, de ter uma 
coisa de saúde dos cabelos, de rendimento, né? Que ele dura, uma durabilidade. A questão do meio ambiente 
como segundo ponto, mas que também vocês observaram. Mais alguma questão? Alguma vantagem, algum 
benefício que vocês diriam desse produto? 
 
 
 
 
Speaker 9 - 01:23:56
 
 Mas quanto à composição também,",mixed
doc_b53730e47cc798ef,doc_b53730e47cc798ef_ch_0083,83,pt,"coisas do gênero. 
 
 
 
 
 
Speaker 4 - 01:35:46
 
 Já veio, de alguma forma. Então eu vou ler e a gente vai falar sobre a proposta. Zero plástico e regeneração. A 
primeira marca 100% zero plástico da Natura. Papel? Só quando precisa. Resíduo mínimo, afinal, é a vida real. A 
mata que traz soluções regenerativas de verdade. Circularidade e redução de resíduos. Embalagem feita de 
materiais compostáveis. Papel 100% reciclado, pós-consumo e reciclável com película telológica interna de fonte 
renovável que protege a barra. Sistema agroflorestal. Ao usar os produtos biome, você ajuda a transformar áreas 
degradadas em natureza novamente. Com oleína de vender proveniente de sistema agroflorestal presente em 
todos os produtos da marca, é regeneração aplicada. Design inspirado natureza e biomimética, valorizando 
estética e funcionalidade. Barras remetem a seixos e foram desenhados com precisão para serem empilhados, 
facilitando a dinâmica de uso de forma que cada barra se encaixe perfeitamente nas mãos. 
 
 
 
 
 
Speaker 4 - 01:36:58
 
 Práticas e não vazam no transporte. Eficiência e rendimento. Rendimento superior a produtos líquidos 
tradicionais. O shampoo tem rendimento",mixed
doc_b53730e47cc798ef,doc_b53730e47cc798ef_ch_0084,84,pt,"36:58
 
 Práticas e não vazam no transporte. Eficiência e rendimento. Rendimento superior a produtos líquidos 
tradicionais. O shampoo tem rendimento quadro e duas vezes superior ao líquido. Já o condicionador, oito vezes 
maior. Alta performance e naturalidade máxima. Naturalidade máxima. Produtos com no mínimo 97% dos 
ingredientes de origem natural. E aí o portfólio, ou seja, o que eles têm? O shampoo de uso diário, pra cabelos 
lisos e levemente cacheados. Acretos ou condanos, condicionador pra todos os tipos de cabelo, sabonete 
cremoso pra todos os tipos de pele, sabonete exfoliante pra todos os tipos de pele e o acessório que é a caixinha 
aqui, o acondicionador aqui que é feito em material biopolímero humano. Então essa é a proposta, essa é a ideia e 
eu vou deixar até aqui, né? Só pra gente ficar com ela, mas eu queria que vocês me falassem O que a estação está 
dando? 
 
 
 
 
 
Speaker 4 - 01:38:02
 
 O que esse produto transmitiu para vocês? O que essa linha transmitiu? O que vocês gostaram ou não gostaram? 
Vamos falar livremente aí o que vocês acharam. 
 
 
 
 
Speaker 1 - 01:38:13
 
 Parece que é feito de tronco. 
 
 
 
 
Speaker 5 - 01:38:17
 
 De uma árvore, né? O",mixed
doc_b53730e47cc798ef,doc_b53730e47cc798ef_ch_0094,94,pt,"marca? 
 
 
 
 
 
Speaker 2 - 01:48:20
 
 Às vezes, muita promessa também acaba dando essa desconfiança, que foi o caso que, sabe, Tudo muito bacana, 
mas acaba dando também uma desconfiança. Acho que isso está pouco no brasileiro, infelizmente. 
 
 
 
 
Speaker 1 - 01:48:39
 
 Eita, desculpa. Eu acho que assim, se realmente, sem saber, considerando que eu não soubesse dessa 
informação que o Júlia deu, eu ia achar, tipo, uma parte deve ser verdade e tal, até porque, sei lá, eles investem 
tanto nisso, que eu acho que se, tipo, meu Deus, fosse uma mentira assombrosa assim, que na verdade eles 
estão, sei lá, batendo em capivara e sei lá mais o que, sei lá, estão fazendo assim, todas as atrocidades com o 
meio ambiente, pegaria muito mal pra marca a ponta de, sei lá, ação cair, sei lá, ok. E a gente sabe que o que 
Meeting Title: Q1_Biome_1104_9h00.m4a Meeting created at: 18th Mar, 2026 - 9:56 PM
63 / 88
importa, né, no fim é o dinheiro. 
 
 
 
 
Speaker 1 - 01:49:19
 
 Então, pra eles não perderem dinheiro, eu acredito que eles não fariam, assim, nada, nenhuma grande atrocidade, 
então eu estaria mais propenso, né, a acreditar, já que todo marketing da Natura, literalmente,",mixed
doc_b53730e47cc798ef,doc_b53730e47cc798ef_ch_0107,107,pt,"ando eles botam a sigla assim do lado parece uma coisa tão científica tão 
certo sabe dá a impressão de que não é só marketing é são fatos. 
 
 
 
 
 
Speaker 6 - 02:02:47
 
 E mais gente tem muito da parte do circularidade, redução de resíduos, né, Ana? E também eficiência de 
rendimento dos produtos líquidos tradicionais, né? E fala também do meio ambiente, né? Meio ambiente, 
precisava de meio ambiente. Chamou muita atenção sobre isso, que é de suma importância, né? 
 
 
 
 
Speaker 9 - 02:03:13
 
 Eu vou na redução de resíduos, mas confesso que o sistema que a agrofloresta me chama a atenção porque eu 
queria saber como é que é o processo deles, né? Unicamente por isso mesmo. 
 
 
 
 
 
Speaker 4 - 02:03:29
 
Meeting Title: Q1_Biome_1104_9h00.m4a Meeting created at: 18th Mar, 2026 - 9:56 PM
72 / 88
 Pelo texto, agora esquece o texto. Pelo texto, tem diferencial dos produtos que vocês conhecem? Tem, design... E 
os outros não prometem? 
 
 
 
 
 
Speaker 7 - 02:03:42
 
 Design, né? 
 
 
 
 
 
Speaker 2 - 02:03:47
 
 Design, uhum. 
 
 
 
 
Speaker 1 - 02:03:49
 
 Eu acho que ele bate tanto nessa questão de que é eficiente ecologicamente, sistema agroflorestal, zero plástico,",mixed
doc_b53730e47cc798ef,doc_b53730e47cc798ef_ch_0124,124,pt,"gulozinho, eu acho que combinava muito mais a 
mesma embalagem da Sou do que essa coisa quadrada. Tá sem personalidade, porque... O design do shampoo é 
tão bonito, tão, assim, diferente, e a embalagem acho que tá matando isso, tá tirando toda essa personalidade. 
 
 
 
 
Speaker 1 - 02:20:12
 
 Sim, eu concordo. Era justamente esse aí, o da Sol, que eu tava tentando lembrar. Obrigado. 
 
 
 
 
 
Speaker 4 - 02:20:20
 
 Enfim, são coisas importantes aí que vocês trouxeram. Mais alguma questão? Porque foi super rico o que vocês 
trouxeram. Mais alguma questão que vocês gostariam de mencionar? Mais algum conselho para quem está 
pensando nesse produto? 
 
 
 
 
 
Speaker 2 - 02:20:42
 
Meeting Title: Q1_Biome_1104_9h00.m4a Meeting created at: 18th Mar, 2026 - 9:56 PM
85 / 88
 Trocar essas cores urgentemente, só isso, reforçar. 
 
 
 
 
Speaker 1 - 02:20:47
 
 É, bota uns tons meio de terra, porque pelo menos aquele sabonete lá no início, o verdinho, ele passa tanta 
impressão de tinta de terra, sabe, a base de terra, que eu acho que poderia fazer, em vez desse tom tipo mamãe 
bebê. 
 
 
 
 
Speaker 9 - 02:21:02
 
 A gente tinha que seguir pelo menos a paleta dos produtos, que traz",mixed
